Hotel_Name,Descriptions
Mercure Paris Arc de Triomphe Etoile,"['good', 'great', 'free']"
Rocco Forte Brown s Hotel,['excellent']
H tel Le Royal Monceau Raffles Paris,[]
The Curtain,"['great', 'best', 'expensive', 'good', 'few', 'organic', 'find', 'special', 'new', 'big']"
Mercure Paris Champs Elys es,"['croissant', 'hot', 'ok', 'fresh']"
Hotel Sezz Paris,"['disappointing', 'great', 'friendly', 'good', 'function', 'average', 'eatable', 'helpful']"
Hotel Eiffel Blomet,"['choose', 'personal', 'friendly', 'ordinary', 'amazing', 'have', 'next', 'professional', 'i', 'best', 'clean', 'special', 'free', 'new', 'great', 'luxurious', 'fitness', 'eat', 'internet', 'say', 'ckndy', 't', 'pleasing', 'modern', 'positive', 'central', 'be', 'experience']"
H tel Original Paris,"['low', 'romantic', 'expensive', 'nice', 'good', 'be', 'relaxing']"
Villa Alessandra,"['ok', 'main', 'efficient', 'fast', 'friendly', 'good', 'fine', 'modest', 'helpful']"
Room Mate Gerard,"['frienddly', 'great', 'enjoy', 'nice', 'cool', 'quiet', 'able', 'perfect', 'top', 'tiny', 'lovely', 'comfortable', 'variable', 'wonderful', 'new', 'use', 'big']"
ABaC Restaurant Hotel Barcelona GL Monumento,"['much', 'friendly', 'nice', 'flat', 'tasty', 'amazing', 'have', 'gourmet', 'expect', 'parmentier', 'beautiful', 'good', 'excellent', 'clean', 'perfect', 'forest', 'outstanding', 'vegetarian', 'helpful', 'strong', 'big', 'stay', 'great', 'most', 'luxurious', 'few', 'general', 'nature', 'relax', 'easy', 'comfortable', 'high', 'wonderful', 'romantic', 'modern', 'attic', 'huge', 'central', 'soft', 'rooftop', 'delicious']"
