Hotel_Name,Descriptions
Kube Hotel Ice Bar,"['spacious', 'comfortable', 'bed']"
One Aldwych,"['old', 'good', 'comfortable', 'helpful']"
InterContinental London Park Lane,[]
Milestone Hotel Kensington,"['little', 'quiet', 'worth', 'similar', 'feel', 'fabulous', 'extra', 'potted', 'special', 'stay', 'other', 'healthy', 'comfortable', 'expensive', 'different', 'small', 'decorated', 'welcome', 'delicious']"
Select Hotel,"['nice', 'helpfull', 'good', 'clean', 'small', 'metro', 'such', 'be', 'lovely', 'old', 'convinient', 'new']"
Hotel Scribe Paris Opera by Sofitel,"['beautiful', 'comfortable', 'great']"
H tel Juliana Paris,['new']
Knightsbridge Hotel,"['different', 'huge', 'd', 'relaxing', 'stay']"
The London EDITION,"['great', 'modern', 'nice', 'good', 'restaurant', 'pretty', 'clean', 'popular', 'quiet', 'impressive', 'stay', 'old', 'delicious', 'impeccable']"
Hotel Le 10 BIS,"['large', 'i', 'modern', 'friendly', 'good', 'quiet', 'side', 'push', 'stay', 'particulary', 'more', 'old']"
The Ampersand Hotel,"['grandiose', 'friendly', 'expect', 'best', 'beautiful', 'good', 'excellent', 'vast', 'perfect', 'victorian', 'anywhere', 'albert', 'chic', 'easy', 'comfortable', 'natural', 't', 'modern', 'south', 'short']"
Crowne Plaza Paris R publique,"['confortable', 'good', 'subway', 'typical', 'beautiful', 'parisian', 'old', 'new']"
H tel de Jos phine BONAPARTE,[]
Hotel des Tuileries Relais du Silence,['great']
The Victoria,"['outdoor', 'fresh', 'clear', 'modern', 'beautiful', 'good', 'nice', 'sheen', 'clean', 'perfect', 'interior', 'next', 'richmond', 'common', 'upper', 'easy', 'old', 'visit']"
Staybridge Suites London Vauxhall,"['black', 'friendly', 'nice', 'modern', 'hotel', 'helpful']"
Hilton Paris Opera,"['executive', 'great', 'nice', 'deluxe', 'small', 'corporate']"
Hotel Astor Saint Honor ,"['great', 'bad', 'other', 'small', 'worth', 'look']"
H tel Le Marianne,"['clean', 'new']"
Ashburn Hotel,"['first', 'good', 'give', 'outside']"
Best Western Premier Marais Grands Boulevards,"['great', 'fresh', 'most', 'best', 'nice', 'better', 'horn', 'important', 'odd', 'other', 'next', 'bijoux', 'be', 't', 'french']"
Waldorf Madeleine,"['nice', 'good', 'quiet', 'many', 'other', 'major']"
H tel Square Louvois,"['perfect', 'exceptional', 'friendly']"
Le 123 S bastopol Astotel,"['horizontal', 'get', 'good', 'vertical', 'be', 'go', 'unreadable', 'poor', 'thou']"
1K Hotel,"['see', 'empty', 'poor', 'last', 'large', 'make', 'good', 'beautiful', 'uneintresting', 'disappointed', 'horrible', 'other', 'u', 'bigger', 'romantic', 'ur', 'breakfast', 'be', 'hear']"
H tel Westminster,"['nice', 'old', 'good', 'attractive', 'spacey', 'shower', 'marble', 'great', 'fantastic', 'traditional', 'comfortable', 't', 'relaxed', 's', 'english', 'original', 'suite', 'double', 'attentive']"
L H tel,"['unusual', 'little', 'great', 'see', 'historic', 'trained', 'get', 'better', 'friendly', 'most', 'like', 'charm', 'old', 'helpful']"
La Villa Haussmann,"['nice', 'comfortable', 'pleasant']"
Hotel Mercure La Sorbonne Saint Germain des Pr s,"['sit', 'beautiful', 'quiet', 'find', 'perfect', 'sarbonne', 'relax', 'lovely', 'start']"
