Hotel_Name,Descriptions
K K Hotel George,"['little', 'decent', 'friendly', 'nice', 'quiet', 'have', 'elegant', 'hectic', 'stylish', 'happier', 'initial', 'consider', 'worry', 'excellent', 'good', 'clean', 'available', 'daily', 'portray', 'great', 'limited', 'unbelievable', 'average', 'more', 'first', 'comfortable', 'quick', 'handy', 'ample', 'mention', 'different', 's', 'breakfast', 'want', 'be', 'earl', 'interesting']"
One Aldwych,"['polite', 'clean', 'quiet', 'busy', 'stylish', 'helpful', 'big']"
Hotel Trianon Rive Gauche,"['take', 'nice', 'au', 'quiet', 'have', 'pleasant', 'i', 'good', 'safe', 'noisy', 'awesome', 'perfect', 'asian', 'go', 'late', 'latin', 'most', 'better', 'get', 'less', 'top', 'bueatiful', 'rer', 'younger', 'huge', 'affordable', 'local', 'walk', 'major']"
Select Hotel,"['great', 'good', 'excellent', 'quiet', 'small', 'fine', 'comfortable', 'salle']"
Gardette Park Hotel,"['paris', 'friendly', 'make', 'good', 'clean', 'many', 'local', 'put', 'easy', 'interesting']"
Hotel L Antoine,"['large', 'great', 'friendly', 'get', 'clean', 'complimentary', 'perfect', 'easy', 'helpful', 'delicious', 'fault']"
Knightsbridge Hotel,"['excellent', 'boutique', 'lovely', 'comfortable', 'magnificent', 'fifth']"
The Nadler Soho,"['large', 'great', 'dosent', 'modern', 'make', 'good', 'personal', 'nice', 'several', 'answer', 'recomend', 'quiet', 'central', 'mary', 'be', 'best', 'helpful', 'own']"
Crowne Plaza Paris R publique,"['sleep', 'great', 'saturday', 'friendly', 'comfy', 'spray']"
Crowne Plaza London Kensington,"['fabulous', 'clean', 'spacious', 'asian', 'comfortable', 'attentive']"
Hilton Paris Opera,"['great', 'major', 'close', 'difficult', 'comfortable', 'helpful']"
Shepherd s Bush Boutique Hotel,"['take', 'ok', 'friendly', 'nice', 'amazing', 'outside', 'wi', 'clean', 'helpful', 'late', 'great', 'toast', 'easy', 'comfortable', 'able', 'cozy', 'expensive', 'weird', 'small', 'be', 'westfield', 'cold']"
Holiday Inn Paris Gare de Lyon Bastille,"['much', 'quick', 'paris', 'verona', 'nr', 'notre', 'perfect', 'next', 'gare', 'be', 'thank', 'stay', 'french', 'visit']"
H tel Regina Op ra Grands Boulevards,"['local', 'helpful', 'free', 'have']"
11 Cadogan Gardens,[]
The Wellesley Knightsbridge a Luxury Collection Hotel London,"['smartest', 'helpful', 'awesome', 'best']"
H tel Diva Opera,"['explore', 'great', 'beautiful', 'good', 'few', 'amazing', 'metro', 'go']"
H tel Duo,"['seine', 'great', 'wrong', 'happy', 'good', 'serve', 'helpful']"
Best Western Premier Marais Grands Boulevards,['great']
Batty Langley s,"['unusual', 'great', 'much', 'make', 'eat', 'quiet', 'entire', 'central', 'comfortable', 'journey', 'able']"
Best Western Mornington Hotel Hyde Park,"['little', 'adequate', 'get', 'good', 'friendly', 'safe', 'better', 'central', 'next', 'go', 'vegetarian', 'modest', 'earlier', 'italian']"
H tel Square Louvois,[]
Le Pavillon des Lettres,[]
Hilton London Hyde Park,"['brilliant', 'great', 'friendly', 'good', 'excellent', 'hyde', 'clean', 'delightful', 'auburne', 'close', 'comfortable', 'helpful', 'delicious']"
L H tel,"['take', 'magic', 'long', 'personal', 'nice', 'return', 'do', 'have', 'exceptional', 'recruit', 'best', 'beautiful', 'good', 'knowledgable', 'lush', 'clean', 'excellent', 'special', 'helpful', 'stay', 'dinner', 'incredible', 'l', 'future', 'luxurious', 'cosy', 'reserve', 'larger', 'comfortable', 'first', 't', 'know', 'romantic', 'recommend', 'small', 'lovely']"
London Marriott Hotel Marble Arch,['fitness']
Saint Georges Hotel,[]
Sofitel Paris Arc De Triomphe,"['much', 'personal', 'nice', 'flat', 'do', 'quiet', 'bose', 'complimentary', 'close', 'understand', 'mind', 'large', 'best', 'good', 'available', 'negative', 'anniversary', 'helpful', 'rude', 'cake', 'limited', 'happy', 'restaurant', 'few', 'treat', 'give', 'comfortable', 'french', 'know', 'expensive', 'try', 'different', 'huge', 's', 'central', 'table', 'attentive', 'routine', 'es']"
Hotel Mercure La Sorbonne Saint Germain des Pr s,[]
Hotel Op ra Richepanse,"['annivesary', 'flat', 'replenish', 'other', 'consistent']"
La Villa Maillot,"['i', 'nice', 'good', 'clean', 'have', 'comfortable', 'helpful']"
H tel Madison by MH,"['great', 'nice', 'good', 'quiet', 'facing', 'suite', 'helpful']"
Mercure London Paddington Hotel,"['ok', 'good', 'catch', 'normal', 'other', 'smaller']"
The Goring,"['efficient', 'good', 'excellent', 'perfect', 'touch', 'luxuary', 'comfortable', 'helpful', 'superb']"
The Pelham Starhotels Collezione,"['unobtrusive', 'friendly', 'kenneth', 'good', 'excellent', 'delightful', 'first', 'helpful', 'big']"
The Montague On The Gardens,"['brilliant', 'much', 'drink', 'friendly', 'live', 'next', 'look', 'thank', 'junior', 'assorted', 'fabulous', 'i', 'straight', 'extra', 'excellent', 'stay', 'enough', 'first', 't', 'help', 'courteous', 'recommend', 'hot', 'keen', 'super', 'welcome', 'congenial']"
Ritz Paris,"['chauffeured', 'fantasy', 'dinner']"
Sofitel Paris Le Faubourg,"['polite', 'expensive', 'happy', 'make', 'excellent', 'recommend', 'helpful', 'delicious']"
H tel des Academies et des Arts,"['beautiful', 'fabulous', 'great', 'funky']"
Le Marquis Eiffel,"['bad', 'eiffel', 'friendly', 'get', 'nice', 'pleasant', 'have', 'helpful', 'superb']"
Au Manoir Saint Germain,"['main', 'nice', 'right', 'quiet', 'spacious', 'next', 'prime', 'charming', 'sidewalk', 'professional', 'quaint', 'magical', 'brush', 'historic', 'clean', 'entire', 'perfect', 'third', 'lunch', 'helpful', 'stay', 'explore', 'great', 'paris', 'buzzier', 'smaller', 'first', 'hesitate', 'wonderful', 'cafe', 'french', 'polite', 'american', 'recommend']"
Nolinski Paris,"['take', 'fabulous', 'private', 'accommodating', 'friendly', 'whole', 'detail', 'metro', 'go', 'everywhere', 'incredible']"
Paris Marriott Opera Ambassador Hotel,"['great', 'knowledgable', 'beautiful', 'nice', 'spacious', 'comfortable']"
H tel Hor,"['nearby', 'functional', 'excellent', 'acceptable', 'clean', 'first']"
H tel Raphael,"['best', 'spacious', 'elegant', 'thoughtful', 'european', 'attentive']"
Paris Marriott Rive Gauche Hotel,"['good', 'great', 'metro']"
Novotel Paris Centre Gare Montparnasse,"['pleased', 'excellent', 'main']"
Novotel London Greenwich,"['great', 'scrumpy', 'romantic', 'friendly', 'good', 'excellent', 'huge', 'tasty', 's', 'perfect', 'helpful', 'greenwich']"
The Park City Grand Plaza Kensington Hotel,"['great', 'exellent', 'malaysian', 'poor', 'comfortable', 'helpful']"
Franklin Roosevelt,"['little', 'great', 'friendly', 'stay', 'helpful', 'wonderful', 'big']"
The Rockwell,"['fun', 'friendly', 'nice', 'standard', 'overall', 'feel', 'direct', 'i', 'like', 'good', 'safe', 'excellent', 'clean', 'special', 'pleased', 'daily', 'stay', 'london', 'provide', 'sit', 's', 'find', 'small', 'delightful', 'super', 'earl']"
The LaLit London,"['much', 'nice', 'tasty', 'fine', 'next', 'i', 'clean', 'many', 'overwhelming', 'stay', 'complementary', 'great', 'list', 'heated', 'such', 'top', 'first', 'wish', 'pure', 'lovely']"
Hotel The Peninsula Paris,"['superb', 'absolute', 'paris', 'tge', 'best', 'immaculate', 'pleasant', 'peninsula', 'lovely', 'first', 'helpful', 'attentive']"
Grand Hotel Saint Michel,"['impress', 'long', 'nice', 'favorite', 'top', 'be', 'comfortable', 'warm', 't', 'rewind']"
Boundary Rooms Suites,[]
Molitor Paris MGallery by Sofitel,[]
First Hotel Paris Tour Eiffel,"['see', 'good', 'noisy', 'few', 'easy']"
Montagu Place Hotel,"['peaceful', 'fabulous', 'great', 'fresh', 'quiet', 'next', 'lovely', 'comfy']"
Hotel Design Secret de Paris,"['takeaway', 'excellent', 'local', 'd', 'outstanding', 'comfortable', 'sumptuous', 'welcome', 'fault']"
Okko Hotels Paris Porte De Versailles,"['nice', 'free']"
Old Ship Inn Hackney,"['hackney', 'great', 'handy', 'limited', 'tasty', 'central', 'spacious']"
The Drayton Court Hotel,"['little', 'great', 'friendly', 'nice', 'good', 'helpful', 'catch', 'drayton', 'recommend', 'cosy', 'quiet', 'small', 'decor', 'comfortable', 'dachshound', 'train']"
The Colonnade,"['nice', 'good', 'excellent', 'great']"
H tel Le M,"['great', 'best', 'nice', 'liked', 'huge', 'quiet', 'spacious']"
The Hari London,"['feel', 'take', 'hari', 'like', 'artificial', 'good', 'design', 'care']"
Banke H tel,"['spanish', 'excellent', 'resolve', 'good', 'extra', 'english', 'professional', 'more', 'helpful', 'french']"
Golden Tulip Bercy Gare de Lyon 209,"['remember', 'black', 'long', 'right', 'slim', 'thank', 'mind', 'happier', 'i', 'beautiful', 'check', 'sad', 'young', 'shower', 'great', 'paris', 'tall', 'few', 'fantastic', 'other', 'truly', 'sure', 'easy', 'comfortable', 'first', 'small', 'be', 'use']"
The Kings Head Hotel,[]
H tel Etoile Saint Honor by Happyculture,"['fabulous', 'great', 'friendly', 'nice', 'extra', 'clean', 'spacious', 'touch', 'worth', 'professional', 'enquire', 'early', 'big', 'late']"
Conrad London St James,"['great', 'friendly', 'good', 'super', 'lovely', 'comfortable', 'helpful']"
Hotel Parc Saint Severin Esprit de France,"['cozy', 'feel', 'relaxed', 'limited', 'patient', 'nice', 'make', 'excellent', 'notre', 'several', 'terrific', 'new', 'heavy']"
Le Meurice,[]
