Hotel_Name,Descriptions
Belfast,"['nice', 'french']"
Mercure Paris Tour Eiffel Pont Mirabeau,"['i', 'friendly', 'good', 'clean', 'pleasant', 'open', 'attentive']"
The Cranley Hotel,"['good', 'poor']"
Maison Souquet,"['don', 'great', 'detail', 'reserve', 'top', 'only', 'be', 'lovely', 'use']"
Amp re,"['great', 'fresh', 'modern', 'nice', 'good', 'right', 'next', 'super', 'go', 'convenient', 'comfortable', 'helpful']"
H tel Chaplain Paris Rive Gauche,"['friendly', 'clean', 'comfortable', 'helpful', 't']"
11 Cadogan Gardens,"['friendly', 'nice', 'rare', 'worth', 'overall', 'expect', 'good', 'excellent', 'same', 'many', 'go', 'clen', 'helpful', 'great', 'delicious', 'classic', 'fantastic', 'top', 'red', 'comfortable', 't', 'romantic', 'expensive', 'modern', 'welcoming', 'small', 'attentive']"
Hotel Astor Saint Honor ,"['ok', 'different', 'complimentary', 'have', 'top', 'spoil', 'give', 'helpful', 'technician', 'cold']"
H tel Le Marianne,"['illness', 'late', 'paris', 'best', 'friendly', 'tasty', 'small', 'hot', 'due', 'larger', 'boutique', 'change', 'accommodate', 'able']"
Marlin Waterloo,"['nice', 'clean', 'quiet', 'small', 'local', 'big']"
Le Relais Madeleine,"['take', 'japanese', 'expensive', 'nice', 'friendly', 'excellent', 'different', 'greek', 'madeleine', 'eat', 'helpful', 'small', 'hear', 'korean', 'vivaldi']"
Mercure Paris Porte d Orleans,"['good', 'great', 'clean', 'friendly']"
Park Grand London Lancaster Gate,"['much', 'fresh', 'friendly', 'nice', 'return', 'quiet', 'complimentary', 'amazing', 'sooo', 'spotless', 'couldn', 'handwritten', 'good', 'clean', 'many', 'special', 'helpful', 'warm', 'great', 'few', 'bathroom', 'nifty', 'comfortable', 'paddington', 't', 'private', 'handy', 'table', 'lovely', 'super', 'welcome', 'attentive']"
The Henrietta Hotel,"['full', 'friendly', 'perfect', 'pure', 'professional', 'lovely']"
