Hotel_Name,Descriptions
Hotel Arena,"['brilliant', 'little', 'peaceful', 'main', 'drink', 'black', 'friendly', 'nice', 'return', 'airy', 'pleasant', 'gigantic', 'busy', 'impact', 'familiarized', 'only', 'look', 'hectic', 'close', 'old', 'start', 'large', 'i', 'historic', 'keep', 'good', 'refund', 'cool', 'clean', 'noisy', 'many', 'previous', 'centre', 'park', 'outstanding', 'disappointed', 'adorable', 'comfy', 'helpful', 'oosterpark', 'anywhere', 'eat', 'quirky', 'enough', 'other', 'top', 'due', 'mezzanine', 'distant', 'red', 'boutique', 'stunning', 'needed', 'unusual', 'heineken', 'sit', 'try', 'silent', 'hot', 'original', 'super', 'real', 'avoid', 'lacking', 'see', 'subway', 'east', 'quiet', 'purpose', 'wander', 'exceptional', 'next', 'outdoor', 'answer', 'g', 'shower', 'vegetarian', 'new', 'explore', 'great', 'spectacular', 'pretty', 'launch', 'former', 'relevant', 'willing', 'aside', 'cooked', 'high', 'visit', 'sweet', 'true', 'public', 'different', 'positive', 's', 'minor', 'sandwich', 'green', 'be', 'possible', 'major', 'double', 'added', 'interesting', 'ok', 'complimentary', 'impressive', 'onsite', 'amazing', 'ten', 'light', 'overall', 'hard', 'fault', 'feel', 'fabulous', 'lush', 'extra', 'available', 'perfect', 'interior', 'better', 'gothic', 'noise', 'exquisite', 'sure', 't', 'easiest', 'romantic', 'unique', 'tram', 'polite', 'help', 'recommend', 'small', 'english', 'local', 'largest', 'funky', 'least', 'handle', 'much', 'spacious', 'standard', 'fine', 'crazy', 'immediate', 'cute', 'make', 'beautiful', 'excellent', 'free', 'go', 'multiple', 'stay', 'big', 'impeccable', 'most', 'get', 'impossible', 'fantastic', 'less', 'easy', 'give', 'comfortable', 'wonderful', 'superb', 'dark', 'front', 'modern', 'expensive', 'amsterdam', 'work', 'huge', 'find', 'metro', 'door', 'bed', 'lovely', 'vegan']"
K K Hotel George,"['brilliant', 'little', 'main', 'decent', 'sufficient', 'friendly', 'nice', 'foremost', 'damp', 'phenomenal', 'return', 'atmosphere', 'pleasant', 'stuff', 'satisfactory', 'busy', 'close', 'hectic', 'spotless', 'hang', 'sleep', 'large', 'i', 'initial', 'efficient', 'bad', 'underfloor', 'good', 'safe', 'noisy', 'clean', 'covent', 'many', 'attractive', 'transfer', 'check', 'same', 'outstanding', 'park', 'walkable', 'spend', 'comfy', 'helpful', 'warm', 'absolute', 'plentiful', 'accommodating', 'usual', 'limited', 'lit', 'int', 'wifi', 'several', 'eat', 'enough', 'other', 'such', 'boutique', 'let', 'london', 'able', 'reasonable', 'sit', 'essential', 'adequate', 'welcoming', 'try', 'hot', 'buffet', 'basic', 'put', 'svietlana', 'super', 'earl', 'delicious', 'cold', 'nearest', 'full', 'see', 'earls', 'subway', 'quiet', 'ideal', 'purpose', 'next', 'travel', 'desirable', 'deal', 'direct', 'functional', 'best', 'worry', 'towels', 'dirty', 'important', 'shower', 'planned', 'residential', 'new', 'great', 'happy', 'restaurant', 'classic', 'larger', 'u', 'relax', 'more', 'fab', 'high', 'superior', 'natural', 'famous', 'handy', 'heatrow', 'public', 's', 'soft', 'walk', 'minute', 'be', 'celebrate', 'major', 'short', 'leicester', 'fresh', 'ok', 'undergound', 'powerful', 'plenty', 'approachable', 'jose', 'complimentary', 'amazing', 'maintained', 'heathrow', 'overall', 'convenient', 'hard', 'miss', 'transport', 'minimal', 'fabulous', 'underground', 'kensington', 'kettle', 'available', 'perfect', 'airport', 'accommodate', 'daily', 'marble', 'apt', 'safer', 'better', 'few', 'populated', 'granite', 'sure', 'serene', 'cafe', 't', 'tired', 'freshly', 'quieter', 'provide', 'glad', 'polite', 'useful', 'mention', 'south', 'courteous', 'recommend', 'small', 'favourite', 'english', 'smart', 'local', 'conscientious', 'much', 'long', 'personal', 'key', 'advertised', 'do', 'whole', 'have', 'tasty', 'spacious', 'fine', 'come', 'worth', 'professional', 'last', 'crisp', 'leave', 'gorgeous', 'quite', 'recent', 'beautiful', 'make', 'excellent', 'entire', 'love', 'tiny', 'free', 'go', 'tube', 'stay', 'big', 'most', 'get', 'cosy', 'round', 'fantastic', 'believe', 'less', 'run', 'easy', 'comfortable', 'first', 'wonderful', 'superb', 'early', 'nescafe', 'organised', 'benefit', 'bigger', 'private', 'ample', 'modern', 'expensive', 'ask', 'popular', 'find', 'huge', 'central', 'delightful', 'breakfast', 'west', 'metro', 'lovely', 'alright', 'use', 'particular']"
Apex Temple Court Hotel,"['decent', 'friendly', 'blackfriars', 'walking', 'atmosphere', 'pleasant', 'spotless', 'start', 'i', 'quit', 'cool', 'many', 'same', 'arrival', 'soho', 'practical', 'eat', 'enough', 'other', 'top', 'london', 'weak', 'hot', 'real', 'exceptional', 'important', 'restaurant', 'enjoyable', 'tower', 'handy', 'christmas', 'minor', 'requested', 'walk', 'attentive', 'short', 'ok', 'amazing', 'light', 'obliging', 'print', 'attentative', 'genuine', 'perfect', 'convent', 'drury', 'need', 'cheap', 'sure', 'nespresso', 'smiley', 'courteous', 'contemporary', 'small', 'local', 'least', 'ecellent', 'much', 'do', 'gorgeous', 'beautiful', 'classy', 'difficult', 'tube', 'stay', 'big', 'immaculate', 'nye', 'frequent', 'flexible', 'easy', 'square', 'early', 'private', 'central', 'acknowledge', 'keen', 'upper', 'lovely', 'peaceful', 'little', 'westminster', 'phenomenal', 'busy', 'close', 'old', 'train', 'keep', 'like', 'massive', 'criminal', 'clean', 'covent', 'awesome', 'check', 'special', 'outstanding', 'comfy', 'warm', 'marvelous', 'luxurious', 'such', 'due', 'able', 'cozy', 'reasonable', 'oxford', 'sit', 'marvellous', 'atmospheric', 'want', 'decor', 'equipped', 'paul', 'super', 'delicious', 'full', 'see', 'ideal', 'next', 'travel', 'lane', 'n', 'shower', 'consistent', 'respectful', 'u', 'high', 'elemis', 'roomy', 'different', 'public', 'afield', 'double', 'regret', 'convenient', 'fault', 'feel', 'fabulous', 'fourth', 'undisturbed', 'tea', 'better', 'loud', 'exquisite', 'quick', 'help', 'recommend', 'location', 'taxis', 'didn', 'long', 'personal', 'reliable', 'have', 'apex', 'excellent', 'free', 'accessible', 'less', 'wonderful', 'know', 'expensive', 'west', 'responsive', 'hear', 'obvious', 'brilliant', 'main', 'neighbouring', 'black', 'scenic', 'return', 'familiar', 'large', 'expect', 'helpful', 'prepare', 'trafalgar', 'usual', 'housekeeping', 'open', 'dead', 'store', 'neat', 'wan', 'unusual', 'end', 'secure', 'basic', 'take', 'quiet', 'poor', 'thank', 'wide', 'outdoor', 'couldn', 'fleet', 'restful', 'new', 'deep', 'pretty', 'more', 'superior', 'visit', 'be', 'powerful', 'complimentary', 'impressive', 'overall', 'stylish', 'low', 'underground', 'extra', 'interior', 'middle', 'general', 't', 'polite', 'terrific', 'smart', 'welcome', 'recommended', 'various', 'exist', 'street', 'outside', 'spacious', 'fine', 'professional', 'second', 'similar', 'wasn', 'go', 'comfiest', 'fantastic', 'satellite', 'superb', 'concert', 'modern', 'ask', 'find', 'door', 'hidden', 'thameslink', 'st', 'nice', 'only', 'sleep', 'efficient', 'good', 'noisy', 'near', 'there', 'sized', 'attractive', 'anniversary', 'bonus', 'strategic', 'pleased', 'several', 'let', 'hesitate', 'stocked', 'welcoming', 'curtious', 'unbeatable', 'lasting', 'dry', 'rare', 'shard', 'sleek', 'shampoo', 'best', 'separate', 'theatre', 'clever', 'incredible', 'tasteful', 'great', 'happy', 'relax', 'deffo', 'higher', 'supportive', 'inner', 'possible', 'major', 'interesting', 'desk', 'hard', 'downtown', 'available', 'total', 'enjoy', 'confortable', 'future', 'few', 'treat', 'further', 'temple', 'romantic', 'comfort', 'inefficient', 'ensure', 'uk', 'whole', 'come', 'upgrade', 'leave', 'make', 'love', 'relaxing', 'norm', 'furnishing', 'most', 'get', 'cosy', 'corner', 'say', 'comfortable', 'first', 'tap', 'huge', 'breakfast', 'pricey']"
The Park Grand London Paddington,"['decent', 'friendly', 'pleasant', 'tacky', 'very', 'start', 'i', 'convienient', 'bad', 'paddicton', 'cool', 'many', 'same', 'plentiful', 'helper', 'railway', 'eat', 'enough', 'other', 'top', 'friendy', 'red', 'smaller', 'lancaster', 'london', 'user', 'bayswater', 'indian', 'silent', 'hot', 'affordable', 'real', 'wait', 'earls', 'right', 'understandable', 'easier', 'cheaper', 'greatest', 'looked', 'restaurant', 'luggage', 'willing', 'enjoyable', 'handy', 'surprise', 'appear', 'meet', 'walk', 'attentive', 'short', 'ok', 'fresh', 'amazing', 'compact', 'perfect', 'eager', 'need', 'chic', 'anytime', 'express', 'paddington', 'cafe', 'courteous', 'small', 'local', 'much', 'do', 'updated', 'citibike', 'move', 'hop', 'nearby', 'beautiful', 'difficult', 'tube', 'stay', 'big', 'internet', 'easy', 'early', 'station', 'proper', 'dark', 'closest', 'lebanese', 'central', 'blue', 'ride', 'bed', 'lovely', 'slept', 'use', 'peaceful', 'little', 'busy', 'satisfactory', 'close', 'elderly', 'look', 'fit', 'old', 'train', 'underfloor', 'keep', 'clean', 'covent', 'awesome', 'check', 'special', 'park', 'comfy', 'warm', 'regent', 'luxurious', 'anywhere', 'un', 'such', 'due', 'boutique', 'able', 'reasonable', 'oxford', 'sit', 'want', 'super', 'delicious', 'cold', 'full', 'electric', 'place', 'ideal', 'awkward', 'next', 'closer', 'apologise', 'dirty', 'rude', 'cheerful', 'u', 'high', 'roomy', 'public', 'different', 'double', 'heathrow', 'convenient', 'fault', 'feel', 'fabulous', 'extensive', 'bright', 'ect', 'accommodate', 'daily', 'better', 'upgraded', 'borrow', 'gluten', 'quick', 'fast', 'help', 'sharp', 'recommend', 'location', 'english', 'knock', 'italian', 'long', 'personal', 'have', 'dated', 'iconic', 'quite', 'wardrobe', 'excellent', 'everyday', 'free', 'european', 'multiple', 'accessible', 'less', 'wonderful', 'expensive', 'metro', 'west', 'responsive', 'bathroom', 'obvious', 'british', 'brilliant', 'main', 'return', 'descent', 'junior', 'wi', 'large', 'expect', 'tidy', 'safe', 'awful', 'child', 'helpful', 'usual', 'open', 'comfurtable', 'store', 'secure', 'basic', 'take', 'quiet', 'legs', 'poor', 'unexpectedly', 'acceptable', 'browse', 'restful', 'new', 'late', 'explore', 'pretty', 'superior', 'fab', 'more', 'upmarket', 'be', 'leicester', 'rooom', 'powerful', 'approachable', 'complimentary', 'overall', 'underground', 'kensington', 'extra', 'back', 'third', 'interior', 'sort', 'padfdington', 'general', 'qualify', 't', 'tired', 'polite', 'smart', 'welcome', 'various', 'handle', 'copious', 'outside', 'spacious', 'fine', 'second', 'professional', 'last', 'crazy', 'mind', 'disappointing', 'well', 'tiny', 'go', 'fantastic', 'particulary', 'left', 'superb', 'show', 'bigger', 'ample', 'modern', 'ask', 'find', 'mobile', 'nice', 'only', 'efficient', 'good', 'pick', 'birthdaycard', 'pleased', 'pubs', 'laundromat', 'called', 'catch', 'several', 'let', 'gloomy', 'complain', 'grand', 'welcoming', 'knowledgeable', 'best', 'club', 'residential', 'great', 'happy', 'ham', 'relax', 'cooked', 'triple', 'wish', 's', 'appreciated', 'official', 'possible', 'major', 'heavy', 'call', 'comfotable', 'hyde', 'mary', 'please', 'breakfas', 'hard', 'transport', 'encouraging', 'available', 'describe', 'touch', 'young', 'marble', 'stop', 'broken', 'few', 'heated', 'further', 'nicer', 'own', 'provide', 'tasty', 'come', 'leave', 'chose', 'hustle', 'make', 'relaxing', 'get', 'cosy', 'ihandy', 'first', 'comfortable', 'say', 'gate', 'breakfast', 'delightful']"
Monhotel Lounge SPA,"['brilliant', 'friendly', 'nice', 'faux', 'quiet', 'knowledgeable', 'amazing', 'chill', 'close', 'stylish', 'ready', 'couldn', 'quite', 'best', 'good', 'excellent', 'glamour', 'classy', 'airport', 'stay', 'helpful', 'accessible', 'great', 'better', 'confortable', 'fantastic', 'sure', 'easy', 'arc', 'pro', 'high', 'comfortable', 'useful', 'turistic', 'modern', 'help', 'arrive', 'cosey', 'metro', 'responsive', 'be', 'attentive', 'active']"
The Principal London,"['decent', 'friendly', 'atmosphere', 'pleasant', 'spotless', 'very', 'i', 'bad', 'historic', 'tempus', 'many', 'same', 'dreadful', 'arrival', 'spent', 'commendable', 'spend', 'stones', 'bus', 'chandelier', 'lovley', 'railway', 'enough', 'other', 'top', 'competent', 'london', 'laundry', 'historical', 'essential', 'try', 'affordable', 'put', 'real', 'grandiose', 'right', 'exceptional', 'mile', 'favorite', 'spectacular', 'willing', 'enjoyable', 'sensitive', 'stan', 'handy', 'christmas', 'national', 'requested', 'cranky', 'walk', 'thermos', 'celebrate', 'attentive', 'short', 'ok', 'fresh', 'cafes', 'amazing', 'elegant', 'tour', 'genuine', 'perfect', 'eager', 'kitty', 'gothic', 'need', 'sure', 'cheap', 'hotel', 'cafe', 'mention', 'courteous', 'tottenham', 'small', 'favourite', 'local', 'least', 'multi', 'much', 'do', 'updated', 'doesn', 'move', 'gorgeous', 'nearby', 'beautiful', 'classy', 'difficult', 'tube', 'stay', 'big', 'opulent', 'easy', 'square', 'early', 'station', 'white', 'front', 'refurbishment', 'central', 'ride', 'lovely', 'use', 'little', 'busy', 'knightsbridge', 'close', 'fit', 'look', 'old', 'train', 'knowledgable', 'covent', 'clean', 'awesome', 'check', 'negative', 'special', 'finish', 'park', 'inside', 'comfy', 'russell', 'marvelous', 'warm', 'garden', 'bothered', 'luxurious', 'such', 'due', 'uderground', 'boris', 'beat', 'able', 'impersonal', 'reasonable', 'oxford', 'bristish', 'magnificient', 'die', 'super', 'delicious', 'full', 'see', 'awkward', 'ideal', 'next', 'inexpensive', 'assist', 'common', 'shower', 'edwardian', 'high', 'magnificent', 'roomy', 'taxi', 'offer', 'public', 'terrible', 'switch', 'sunday', 'double', 'added', 'wash', 'heathrow', 'convenient', 'fault', 'rebook', 'feel', 'fabulous', 'lambs', 'victorian', 'tea', 'better', 'beautifull', 'suffocated', 'upgraded', 'quick', 'help', 'location', 'recommend', 'remove', 'atlantic', 'english', 'touristic', 'italian', 'choose', 'birthday', 'certain', 'long', 'helpfull', 'have', 'posh', 'iconic', 'quite', 'titanic', 'excellent', 'free', 'multiple', 'lucky', 'bloody', 'twin', 'com', 'less', 'give', 'wonderful', 'expensive', 'popular', 'west', 'cross', 'obvious', 'british', 'brilliant', 'main', 'reach', 'return', 'junior', 'continental', 'circus', 'large', 'presentable', 'safe', 'awful', 'heritage', 'helpful', 'neat', 'christmasy', 'conveniente', 'basic', 'take', 'think', 'quiet', 'inconvenient', 'poor', 'ready', 'wide', 'tradional', 'direct', 'new', 'explore', 'deep', 'classic', 'average', 'more', 'superior', 'fab', 'retro', 'visit', 'gardens', 'commanding', 'synthetic', 'be', 'brunswick', 'complimentary', 'impressive', 'stylish', 'overall', 'low', 'underground', 'arrange', 'extra', 'sentral', 'incl', 'airport', 'ornate', 'interior', 'opposite', 'general', 't', 'pleasing', 'polite', 'unique', 'delight', 'terrific', 'welcome', 'steep', 'international', 'outside', 'standard', 'spacious', 'fine', 'professional', 'second', 'last', 'wasn', 'tiny', 'go', 'russel', 'fantastic', 'shops', 'superb', 'bigger', 'modern', 'work', 'find', 'door', 'st', 'nice', 'exterior', 'friday', 'efficient', 'good', 'noisy', 'sized', 'pick', 'doorman', 'centre', 'wifi', 'catch', 'several', 'traditional', 'distant', 'stunning', 'let', 'hesitate', 'grand', 'welcoming', 'gatwick', 'unbeatable', 'tiled', 'euston', 'subway', 'enthusiastic', 'cramped', 'shampoo', 'severe', 'best', 'answer', 'theatre', 'incredible', 'complementary', 'exact', 'great', 'happy', 'desperate', 'pancras', 'external', 'wish', 'revisit', 'higher', 'hysterical', 's', 'major', 'interesting', 'mary', 'sound', 'hard', 'transport', 'available', 'young', 'marble', 'rub', 'few', 'serene', 'festive', 'come', 'upgrade', 'leave', 'make', 'love', 'relaxing', 'most', 'get', 'cosy', 'corner', 'comfortable', 'first', 'commercial', 'gracious', 'beautuful', 'huge', 'delightful', 'single']"
Park Plaza County Hall London,"['deliver', 'decent', 'sufficient', 'friendly', 'pleasant', 'uncomfortable', 'premier', 'hang', 'i', 'cool', 'many', 'same', 'picturesque', 'spend', 'bus', 'nest', 'plentiful', 'amply', 'bday', 'comply', 'enough', 'eat', 'other', 'top', 'red', 'shrek', 'smaller', 'competent', 'london', 'hot', 'put', 'along', 'wait', 'right', 'exceptional', 'tubes', 'kept', 'alter', 'asleep', 'warmful', 'cheaper', 'change', 'crucial', 'spectacular', 'microwave', 'enjoyable', 'handy', 'twist', 'national', 'signal', 'comftable', 'walk', 'celebrate', 'attentive', 'short', 'vibey', 'kinf', 'ok', 'fresh', 'amazing', 'light', 'obliging', 'cheapest', 'compact', 'genuine', 'suitable', 'perfect', 'save', 'consume', 'overnight', 'need', 'noise', 'instant', 'sure', 'cheap', 'hotel', 'westminister', 'nespresso', 'south', 'courteous', 'small', 'local', 'least', 'false', 'much', 'key', 'incorrect', 'do', 'move', 'reheat', 'nearby', 'beautiful', 'parliament', 'entire', 'sight', 'difficult', 'tube', 'stay', 'big', 'nye', 'immaculate', 'flexible', 'easy', 'early', 'tourist', 'front', 'dark', 'closest', 'private', 'central', 'upper', 'lovely', 'use', 'little', 'westminster', 'phenomenal', 'busy', 'close', 'look', 'festival', 'old', 'train', 'excerlent', 'like', 'knowledgable', 'clean', 'covent', 'awesome', 'check', 'side', 'special', 'finish', 'outstanding', 'comfy', 'warm', 'luxurious', 'due', 'beat', 'able', 'reasonable', 'atmospheric', 'die', 'super', 'delicious', 'cold', 'full', 'see', 'awkward', 'ideal', 'next', 'vert', 'travel', 'assist', 'thorough', 'shower', 'fix', 'unaware', 'bakerloo', 'uber', 'high', 'magnificent', 'unexpected', 'roomy', 'elemis', 'sliding', 'offer', 'luckily', 'public', 'different', 'terrible', 'switch', 'organise', 'loverly', 'double', 'italia', 'plenty', 'cheese', 'prohibitive', 'cordial', 'heathrow', 'convenient', 'feel', 'chocolate', 'fabulous', 'bright', 'better', 'linen', 'felt', 'seperated', 'upgraded', 'thin', 'quietest', 'quick', 'fast', 'help', 'weird', 'recommend', 'location', 'english', 'touristic', 'didn', 'wrong', 'italian', 'birthday', 'long', 'personal', 'c', 'helpfull', 'have', 'excellent', 'free', 'plaza', 'soundproof', 'multiple', 'adjacent', 'lucky', 'accessible', 'queens', 'parlament', 'less', 'wonderful', 'know', 'expensive', 'popular', 'metro', 'west', 'responsive', 'numerous', 'brilliant', 'comment', 'main', 'reach', 'presented', 'return', 'liked', 'defo', 'closed', 'junior', 'large', 'expect', 'tidy', 'safe', 'previous', 'walkable', 'helpful', 'honest', 'trafalgar', 'request', 'accommodating', 'housekeeping', 'open', 'clear', 'adequate', 'cooperative', 'cant', 'helfull', 'helpeful', 'quiet', 'prime', 'guess', 'poor', 'thank', 'ready', 'wide', 'bother', 'study', 'g', 'guest', 'half', 'etc', 'new', 'late', 'explore', 'originate', 'average', 'more', 'superior', 'natural', 'fab', 'visit', 'relaxed', 'intimate', 'tell', 'sq', 'soft', 'be', 'suite', 'kitchen', 'remember', 'mark', 'grown', 'complimentary', 'impressive', 'overall', 'underground', 'arrange', 'respond', 'extra', 'third', 'concierge', 'interior', 'opposite', 'working', 'general', 't', 'polite', 'interested', 'terrific', 'smart', 'welcome', 'various', 'fair', 'outside', 'spacious', 'fine', 'second', 'professional', 'last', 'chaotic', 'pefect', 'greenwich', 'face', 'courtney', 'dodgy', 'recent', 'wasn', 'go', 'fantastic', 'superb', 'pay', 'modern', 'storing', 'find', 'hidden', 'inclined', 'nice', 'watch', 'sleep', 'efficient', 'good', 'near', 'noisy', 'anniversary', 'lay', 'fussy', 'disappointed', 'pleased', 'wifi', 'catch', 'several', 'let', 'gloomy', 'discover', 'welcoming', 'unnecessary', 'splendid', 'buffet', 'unbeatable', 'sofa', 'courtyard', 'enthusiastic', 'southbank', 'deal', 'best', 'v', 'separate', 'theatre', 'exact', 'great', 'happy', 'views', 'received', 've', 's', 'inner', 'possible', 'sara', 'major', 'hard', 'available', 'lean', 'young', 'enjoy', 'stop', 'confortable', 'few', 'imperial', 'useful', 'additional', 'sauna', 'whole', 'generous', 'come', 'upgrade', 'congested', 'cute', 'make', 'love', 'slight', 'relaxing', 'most', 'get', 'comfortable', 'first', 'waterloo', 'huge', 'delightful', 'pricey', 'amercian', 'particular']"
One Aldwych,"['brilliant', 'little', 'much', 'friendly', 'nice', 'uk', 'slap', 'quiet', 'spacious', 'next', 'corteous', 'close', 'stylish', 'professional', 'overall', 'old', 'feel', 'large', 'i', 'premium', 'best', 'like', 'good', 'excellent', 'extra', 'covent', 'clean', 'many', 'favorite', 'perfect', 'anniversary', 'arrival', 'available', 'outstanding', 'free', 'love', 'relaxing', 'helpful', 'tea', 'theatre', 'short', 'late', 'aleady', 'great', 'cheerful', 'spa', 'better', 'fantastic', 'top', 'upscale', 'comfortable', 'high', 'wonderful', 'london', 'superb', 'front', 'prompt', 'provide', 'wonka', 'private', 'expensive', 'mention', 'south', 'help', 'small', 'central', 'delightful', 'celebratory', 'bed', 'west', 'be', 'lovely', 'attentive', 'welcome', 'delicious', 'recommended']"
Splendid Etoile,"['brilliant', 'little', 'main', 'friendly', 'nice', 'airy', 'exillant', 'watch', 'close', 'leafy', 'large', 'i', 'bad', 'tidy', 'good', 'near', 'clean', 'same', 'check', 'special', 'helpful', 'elysees', 'paris', 'catch', 'such', 'rer', 'cozy', 'super', 'justice', 'see', 'right', 'quiet', 'exceptional', 'detail', 'balcony', 'incredible', 'cleanliness', 'great', 'spectacular', 'classic', 'average', 'superior', 'fab', 'high', 'visit', 'different', 's', 'be', 'major', 'double', 'attentive', 'short', 'fresh', 'please', 'amazing', 'elegant', 'overall', 'convenient', 'elisee', 'print', 'extra', 'available', 'perfect', 'airport', 'bring', 'opposite', 'stop', 'better', 'confortable', 't', 'la', 'polite', 'romantic', 'help', 'farouk', 'opt', 'courteous', 'recommend', 'small', 'english', 'flaw', 'local', 'welcome', 'much', 'helpfull', 'do', 'have', 'spacious', 'worth', 'upgrade', 'iconic', 'beautiful', 'excellent', 'deluxe', 'european', 'mr', 'stay', 'most', 'get', 'fantastic', 'champs', 'easy', 'first', 'say', 'wonderful', 'comfortable', 'bf', 'early', 'front', 'superb', 'expensive', 'etoile', 'central', 'metro', 'lovely', 'numerous', 'es']"
Hotel Trianon Rive Gauche,"['brilliant', 'little', 'main', 'decent', 'counter', 'friendly', 'nice', 'au', 'st', 'pleasant', 'uncomfortable', 'close', 'fit', 'descent', 'old', 'impressed', 'wi', 'large', 'i', 'fashioned', 'efficient', 'like', 'keep', 'good', 'safe', 'cool', 'clean', 'noisy', 'awesome', 'antique', 'many', 'picturesque', 'attractive', 'check', 'same', 'spend', 'practical', 'helpful', 'stroll', 'request', 'paris', 'schoolboy', 'eat', 'open', 'other', 'top', 'rer', 'store', 'neat', 'herbal', 'able', 'reasonable', 'affordable', 'hot', 'super', 'take', 'fun', 'full', 'right', 'knowledgeable', 'quiet', 'ideal', 'exceptional', 'next', 'understand', 'direct', 'best', 'worry', 'guest', 'cheaper', 'separate', 'new', 'late', 'don', 'latin', 'explore', 'great', 'happy', 'classic', 'adjoining', 'more', 'unexpected', 'cathedral', 'sweet', 'higher', 'public', 'luxembourg', 'walk', 'be', 'possible', 'major', 'double', 'short', 'fresh', 'complimentary', 'overall', 'convenient', 'stylish', 'rich', 'fabulous', 'downtown', 'available', 'perfect', 'third', 'asian', 'interior', 'variable', 'opposite', 'eager', 'better', 'few', 'general', 'need', 'b', 't', 'romantic', 'help', 'notre', 'recommend', 'small', 'english', 'local', 'hospitable', 'various', 'much', 'sorbonne', 'typical', 'street', 'do', 'have', 'tasty', 'spacious', 'second', 'similar', 'upgrade', 'pantheon', 'lobby', 'nearby', 'beautiful', 'excellent', 'parisian', 'everyday', 'wasn', 'love', 'tiny', 'free', 'european', 'stay', 'big', 'regular', 'most', 'get', 'cosy', 'touristy', 'fantastic', 'less', 'bueatiful', 'internet', 'run', 'easy', 'comfortable', 'left', 'wonderful', 'pay', 'early', 'superb', 'french', 'first', 'cleanest', 'bigger', 'modern', 'fridge', 'greek', 'gracious', 'dame', 'find', 'central', 'lovely', 'necessary', 'louvre']"
