Hotel_Name,Descriptions
Hotel Arena,"['unusual', 'fabulous', 'much', 'friendly', 'excellent', 'awful', 'be']"
K K Hotel George,"['fresh', 'underground', 'beautiful', 'restaurant', 'quiet', 'perfect', 'delightful', 'spotless', 'delicious']"
The Principal London,"['disabled', 'angry', 'cafes', 'poor', 'flag', 'nearby', 'best', 'perfect', 'concierge', 'stay', 'short', 'eat', 'average', 'more', 'grand', 'expensive', 'festive', 'single', 'use']"
One Aldwych,"['little', 'polite', 'like', 'uncomfortable', 'attentive']"
Novotel Suites Paris Nord 18 me,"['store', 'microwave', 'good', 'massive', 'necessary', 't']"
Knightsbridge Hotel,"['excellent', 'boutique', 'lovely', 'comfortable', 'magnificent', 'fifth']"
The London EDITION,"['fixed', 'bad', 'unreliable', 'nice', 'good', 'excellent', 'entire', 'fantastic', 'small', 'wasn', 'old', 'comfortable', 'helpful', 'new']"
The Cranley Hotel,"['nice', 'pleasant', 'small', 'bed', 'light', 'lovely', 'comfortable']"
The Nadler Soho,"['large', 'great', 'dosent', 'modern', 'make', 'good', 'personal', 'nice', 'several', 'answer', 'recomend', 'quiet', 'central', 'mary', 'be', 'best', 'helpful', 'own']"
The Nadler Victoria,[]
Novotel London Tower Bridge,['good']
H tel Keppler,"['explore', 'good', 'helpful', 'few', 'quiet', 'small', 'informative', 'drop', 'ready']"
The Victoria,"['be', 'fair']"
Thistle Kensington Gardens,"['poor', 'incompetent', 'check']"
Park Plaza Sherlock Holmes London,"['great', 'more', 'modern', 'good', 'several', 'dental', 'same', 'ensuite', 'professional', 'chemist', 'comfortable', 'helpful']"
Shepherd s Bush Boutique Hotel,"['continental', 'little', 'great', 'nice', 'good', 'return', 'recommend', 'outside', 'small', 'busy', 'close', 'older', 'westfield']"
H tel Regina Op ra Grands Boulevards,"['local', 'helpful', 'free', 'have']"
H tel Duo,"['get', 'good', 'excellent', 'friendly']"
Novotel London Waterloo,"['i', 'ibis', 'overall', 'have', 'same', 'english', 't', 'be', 'disappointed', 'understand', 'wrong', 'numerous', 'late']"
Le Relais Madeleine,"['great', 'enjoy', 'picnic', 'friendly', 'nice', 'good', 'wifi', 'clean', 'quiet', 'perfect', 'hazel', 'small', 'optional', 'pack', 'daily']"
Best Western Mornington Hotel Hyde Park,"['choose', 'friendly', 'nice', 'have', 'ten', 'next', 'close', 'eggs', 'ready', 'beautiful', 'good', 'clean', 'go', 'etc', 'stay', 'helpful', 'great', 'enjoy', 'cook', 'several', 'comfortable', 'closest', 'polite', 'unique', 'small', 'hot', 'english', 'single', 'italian']"
Arbor City,"['nice', 'good', 'excellent', 'clean', 'quiet', 'comfortable']"
Le Grey Hotel,"['made', 'great', 'till', 'work', 'quiet', 'central', 'stay', 'sure', 'helpful', 'attentive']"
Ambassadors Bloomsbury,"['great', 'friendly', 'nice', 'excellent', 'several', 'espresso', 'helpful', 'start']"
1K Hotel,[]
H tel Westminster,"['great', 'outstanding']"
The Chamberlain,"['nice', 'quiet', 'fault', 'underground', 'good', 'clean', 'same', 'free', 'cheaper', 'comfy', 'stay', 'helpful', 'cleanliness', 'boring', 'traditional', 'easy', 'comfortable', 'recommend', 'aldgate', 'bed', 'lovely', 'delicious']"
London Marriott Hotel Marble Arch,"['helpful', 'comfortable', 'great', 'friendly']"
Sofitel Paris Arc De Triomphe,"['much', 'limited', 'good', 'restaurant', 'different', 'negative', 'treat', 'close', 'routine', 'rude', 'know']"
Best Western Premier Louvre Saint Honor ,"['economical', 'long', 'fantastic', 'special', 'elegant', 'outstanding', 'go', 'numerous']"
Charlotte Street Hotel,"['fabulous', 'best', 'dislike', 'recommend', 'local', 'spent', 'london', 'new', 'gorgeous']"
The Goring,"['excellent', 'helpful', 'personal']"
Sofitel Paris Le Faubourg,[]
Best Western Premier Le Swann,['have']
Hotel Lumen Paris Louvre,[]
The Leonard Hotel,"['great', 'long', 'excellent', 'warm', 'ready', 't']"
Au Manoir Saint Germain,"['smaller', 'magical', 'paris', 'american', 'nice', 'clean', 'entire', 'recommend', 'prime', 'next', 'charming', 'lunch', 'professional', 'sidewalk', 'quaint', 'first', 'helpful', 'cafe']"
Best Western S vres Montparnasse,[]
Hotel Indigo London Paddington,"['stack', 'good', 'small', 'next', 'financial', 'move', 'superior', 'compensate', 'tired', 'late']"
Park Avenue Baker Street,"['re', 'oxford', 'fifty']"
The Rockwell,"['peaceful', 'private', 'friendly', 'clean', 'real']"
Radisson Blu Edwardian Sussex,"['good', 'excellent', 'helpful', 'close']"
H tel Les Dames du Panth on,"['possible', 'put', 'great', 'look']"
Best Western Ducs de Bourgogne,"['take', 'seine', 'great', 'much', 'expensive', 'nearby', 'friendly', 'walk', 'easy', 'fab', 'helpful', 'menu', 'visit']"
Villa Montparnasse,[]
Old Ship Inn Hackney,"['helpful', 'great', 'sunday']"
The Colonnade,"['great', 'fresh', 'classic', 'pavement', 'pleasant', 'fine', 'english', 'old', 'gorgeous']"
H tel Le M,[]
Radisson Blu Edwardian Mercer Street,"['small', 'great']"
Twenty Nevern Square Hotel,[]
Mercure Paris Terminus Nord,"['quick', 'expensive', 'slow', 'nice', 'good', 'free', 'comfortable']"
The Kings Head Hotel,"['continental', 'little', 'fresh', 'gadgets', 'control', 'friendly', 'nice', 'good', 'fantastic', 'perfect', 'sunday', 'helpful', 'delicious']"
H tel Brighton Esprit de France,"['spectacular', 'spacious', 'opera', 'helpful', 'delicious']"
Best Western Seraphine Kensington Olympia,"['fresh', 'better', 'renovations', 'do', 'clean', 'small', 'due', 'tiny', 'poor']"
Le Meurice,[]
Bentley London,['slow']
Forest Hill Paris la Villette,"['turkish', 'friendly', 'good', 'have', 'affordable', 'comfortable', 'helpful', 'convinient']"
Bloomsbury Palace Hotel,"['packed', 'filthy', 'get', 'do', 'unhelpful', 'net', 'stay', 't']"
Morgan Mees,"['i', 'most', 'nice', 'quiet', 'easy', 'short']"
Holiday Inn London Mayfair,"['great', 'ritz', 'buckingham', 'lunch', 'close', 'glorious']"
Hyatt Regency Paris Etoile,"['spectacular', 'paris', 'club', 'nice', 'tasty', 'perfect', 'next', 'be', 'attentive']"
Relais Christine,"['great', 'good', 'please', 'willing', 'outstanding']"
H tel Bourgogne Montana by MH,"['continental', 'i', 'modern', 'typical', 'own', 'keep', 'clean', 'enough', 'reliable', 'other', 'apologetic', 'organise', 'lunch', 'fill', 'helpful', 't']"
Henley House Hotel,"['flower', 'reasonable', 'great', 'appropriate', 'fluffy', 'available', 'twin', 'quiet', 'complimentary', 'small', 'spacious', 'hot', 'next', 'close', 'theosimplyitalian', 'new', 'recommended', 'italian']"
Radisson Blu Edwardian Hampshire,"['ok', 'wish', 'more', 'great', 'diabetic', 'expensive', 'excellent', 'healthy', 'overall', 'poor', 'comfy']"
Blakes Hotel,"['late', 'great', 'delish', 'bed', 'lunch', 'front']"
Rafayel Hotel Spa,[]
The Chesterfield Mayfair,"['take', 'poor', 'great', 'friendly', 'expensive', 'good', 'huge', 'meet', 'perfect', 'exceptional', 'easy', 'last', 'helpful', 'greet']"
Mercure Paris Porte De Versailles Expo,['nice']
H tel Saint Marc,[]
Dorset Square Hotel,"['first', 'private', 'have', 'firmdale', 'small', 'lunch', 'high', 'visit']"
Edouard 7 Paris Op ra,"['great', 'much', 'request', 'expensive', 'ask', 'do', 'collect', 'come', 'light', 'cheaper', 'basic', 'change', 'lunch', 'own', 'bring']"
Buddha Bar Hotel Paris,"['friendly', 'nice', 'excellent', 'amazing', 'professional', 'die', 'simple']"
Holiday Inn Paris Notre Dame,[]
Little Palace Hotel,"['fun', 'quick', 'main', 'clean', 'recommend', 'find', 'many', 'friendlyl', 'free', 'stay', 'easy', 'purchase', 'comfortable', 'helpful', 'dinner']"
Andaz London Liverpool Street,"['great', 'other', 'soft', 'free', 'multiple', 'definite']"
H tel de Lille,"['handy', 'modern', 'nice', 'friendly', 'several', 'quiet', 'interior']"
Claridge s,"['behave', 'greatest', 'american', 'immaculate', 'afford', 'claim', 'good', 'eat', 'other', 'traditional', 'be', 'put', 'high', 'white', 'polished', 'british']"
H tel R de Paris Boutique Hotel,"['have', 'only', 'more', 'guide', 'criticize']"
Grange Tower Bridge Hotel,[]
St Martins Lane A Morgans Original,[]
The Premier Notting Hill,"['i', 'friendly', 'clean', 'small', 'breakfast', 'worst', 'poor', 'helpful', 'london', 'incredible']"
Best Western Premier Trocadero La Tour,"['triple', 'main', 'saturday', 'convient', 'nice', 'good', 'small', 'double', 'french']"
Mercure Paris Op ra Faubourg Montmartre,"['ten', 'good']"
Villa Beaumarchais,"['little', 'nice', 'phenomenal', 'quiet', 'pleasant', 'come', 'light', 'skip', 'leave', 'rive', 'miss', 'creative', 'good', 'break', 'speak', 'clean', 'near', 'same', 'check', 'love', 'free', 'specialist', 'helpful', 'stay', 'im', 'usual', 'great', 'weight', 'most', 'restaurant', 'comfortable', 't', 'french', 'reasonable', 'marais', 'notre', 'huge', 'small', 'walk', 'cheery', 'be']"
Holiday Inn Paris Gare de l Est,"['great', 'happy', 'worry', 'have', 'lunch', 'big']"
Shaftesbury Hyde Park International,"['little', 'get', 'cheese', 'perfect', 'small', 'pop', 'lovely']"
The Montcalm At Brewery London City,"['full', 'ensure', 'nice', 'quiet', 'next', 'jugged', 'fault', 'extra', 'good', 'excellent', 'many', 'perfect', 'special', 'free', 'overnight', 'great', 'get', 'luxurious', 'other', 'due', 'easy', 'wonderful', 't', 'able', 'recommend', 'following', 'lovely']"
H tel Powers,"['quick', 'friendly', 'elyse', 'small', 'champs']"
Novotel London City South,"['quiet', 'pleasant', 'perfect', 'next', 'inconsiderate', 'comfortable']"
