Hotel_Name,Descriptions
Monhotel Lounge SPA,"['quite', 'accessible', 'great', 'nice', 'get', 'excellent', 'round', 'wasn', 'due', 'non', 'responsive', 'move', 'easy', 'hear', 'necessary', 'leave']"
Haymarket Hotel,"['feel', 'esp', 'excellent', 'soanish', 'concierge', 'lovely', 't']"
Shangri La Hotel Paris,[]
The Nadler Soho,"['small', 'good', 'reflective', 'other']"
The Ampersand Hotel,"['little', 'easy', 'great', 'friendly', 'extra', 'excellent', 'albert', 'perfect', 'soft', 'suggest', 'park', 'be', 'close', 'sure', 'high', 'comfortable', 'simple', 'wonderful']"
The Nadler Victoria,"['take', 'friendly', 'nice', 'westminster', 'quiet', 'have', 'train', 'greenwich', 'feel', 'underground', 'nearby', 'good', 'excellent', 'clean', 'pick', 'park', 'go', 'helpful', 'stay', 'new', 'trafalgar', 'great', 'buckingham', 'microwave', 'few', 'eat', 'easy', 'more', 'comfortable', 'wonderful', 'reasonable', 'welcoming', 'green', 'basic', 'be', 'victoria', 'welcome', 'attentive']"
Maison Souquet,"['pitch', 'hopeless', 'friendly', 'rough', 'small', 'experienced', 'poor', 'high']"
Le Senat,"['great', 'beautiful', 'small', 'only', 'dark']"
Hotel des Tuileries Relais du Silence,"['excellent', 'clean']"
W London Leicester Square,['regent']
The Kensington Hotel,"['happy', 'good', 'helpful', 'general']"
11 Cadogan Gardens,"['best', 'hyde', 'perfect', 'older', 'quaint', 'pushy', 'attentive']"
Op ra Marigny,"['answer', 'able']"
H tel Le Marianne,"['i', 'efficient', 'ample', 'friendly', 'few', 'clean', 'quiet', 'outside', 'smart', 'more', 'comfortable', 'bathroom']"
Hotel Eden,[]
Ashburn Hotel,"['comfortable', 'underground', 'nice', 'good', 'hyde', 'quiet', 'other', 'tube', 'breakfast', 'high', 'respectable', 'big']"
Le Relais Madeleine,"['great', 'enjoy', 'picnic', 'friendly', 'nice', 'good', 'wifi', 'clean', 'quiet', 'perfect', 'hazel', 'small', 'optional', 'pack', 'daily']"
La Tremoille Paris,"['perfect', 'excellent', 'added', 'detail']"
H tel Duc De St Simon,[]
London Marriott Hotel Park Lane,"['great', 'wish', 'executive', 'private', 'friendly', 'nice', 'good', 'few', 'quiet', 'perfect', 'visit']"
Windermere Hotel,"['hyper', 'excellent', 'please', 'human', 'green', 'georgian', 'warm']"
The Bloomsbury Hotel,"['nice', 'clean', 'sparkly']"
Hotel Indigo London Paddington,"['drink', 'nice', 'powerful', 'hyde', 'spacious', 'heathrow', 'close', 'nearby', 'good', 'excellent', 'mini', 'free', 'shower', 'helpful', 'great', 'eat', 'comfortable', 'paddington', 't', 'reasonable', 'handy', 'modern', 'rail', 'soft', 'short']"
Hotel Xenia Autograph Collection,"['transport', 'economical', 'great', 'polite', 'earn', 'hyde', 'public', 'clean', 'convenient', 'local', 'lovely', 'more', 'tube', 'helpful', 'london', 'big']"
Villa Eugenie,"['accessible', 'much', 'clean', 'find', 'impressive', 'central']"
Bulgari Hotel London,"['pamper', 'different', 'foot', 'believe', 'wonderful']"
Hotel Plaza Elys es,"['underground', 'decent', 'paris', 'modern', 'friendly', 'good', 'excellent', 'clean', 'free']"
Best Western Paris Gare Saint Lazare,"['do', 'fairy', 'new', 'pillow']"
Le Narcisse Blanc Spa,['expensive']
Hotel Design Secret de Paris,"['much', 'nice', 'small', 'park', 'helpful', 'attentive']"
Hotel Indigo Paris Opera,"['great', 'paris', 'friendly', 'make', 'modern', 'clean', 'specious', 'find', 'fantastic', 'classical', 'comfy', 'be', 'least', 'comfortable', 'helpful', 'real']"
H tel Belloy Saint Germain By Happyculture,"['main', 'nice', 'next', 'champagne', 'yummy', 'extra', 'excellent', 'speak', 'clean', 'many', 'free', 'helpful', 'great', 'get', 'eat', 'plunge', 'ask', 'public', 'huge', 'positive', 'english']"
InterContinental Paris Le Grand,"['take', 'i', 'see', 'fluffy', 'beautiful', 'soft', 'surreal', 'crescent']"
The Abbey Court Notting Hill,"['brilliant', 'take', 'gate', 'hill', 'good', 'hyde', 'have', 'half', 'last', 'stones']"
L Edmond H tel,"['great', 'i', 'polite', 'clean', 'recommend', 'metro', 'spacious', 'helpful', 't']"
London Suites,"['great', 'underground', 'defo', 'clean', 'olympic']"
Grange Beauchamp Hotel,"['nice', 'subway', 'quiet', 'pleasant', 'spacious', 'second', 'fabulous', 'nearby', 'beautiful', 'good', 'attractive', 'park', 'comfy', 'helpful', 'stay', 'great', 'other', 'less', 'sure', 'easy', 'comfortable', 'square', 'high', 'reasonable', 'polite', 'theatreland', 'parks', 'ucl', 'lovely']"
H tel Vernet,"['useful', 'beautiful', 'nouveau', 'pleasant', 'perfect']"
The One Barcelona GL,"['beautiful', 'excellent', 'quiet', 'hot', 'passeig', 'easy', 'stay', 'short']"
The Zetter Townhouse Marylebone,"['little', 'large', 'usual', 'good', 'luxurious', 'clean', 'such', 'classy', 'comfortable', 'marble', 'recommended']"
Le Pavillon de la Reine Spa,"['famous', 'exact', 'tranquil', 'unique', 'beautiful', 'best', 'parisian', 'right', 'available', 'courteous', 'complimentary', 'classy', 'greet', 'be', 'convenient', 'own', 'delicious', 'gorgeous']"
Morgan Mees,"['nice', 'dam']"
Royal Saint Michel,"['friendly', 'have', 'good', 'excellent', 'clean', 'many', 'fourth', 'quartier', 'great', 'other', 'give', 'info', 'hotel', 't', 'provide', 'notre', 'public', 'find', 'be']"
Relais Saint Jacques,"['intimate', 'paris', 'typical', 'notre', 'quiet', 'luxembourg']"
Hotel Square,"['great', 'private', 'good', 'several', 'positive', 'such', 'helpful']"
H tel Bourgogne Montana by MH,"['wish', 'friendly', 'good', 'excellent', 'safe', 'public', 'quiet', 'clean', 'heater', 'sandman', 'comfy', 'super', 'electronic']"
