Hotel_Name,Descriptions
Monhotel Lounge SPA,"['quite', 'accessible', 'great', 'nice', 'get', 'excellent', 'round', 'wasn', 'due', 'non', 'responsive', 'move', 'easy', 'hear', 'necessary', 'leave']"
InterContinental London Park Lane,"['baby', 'helpful', 'young', 'amazing']"
Maison Souquet,"['pitch', 'hopeless', 'friendly', 'rough', 'small', 'experienced', 'poor', 'high']"
Hotel des Tuileries Relais du Silence,"['excellent', 'clean']"
The Kensington Hotel,"['happy', 'helpful', 'general']"
Op ra Marigny,"['answer', 'able']"
Hotel Eden,[]
Ashburn Hotel,['breakfast']
Saint Georges Hotel,"['oxford', 'great', 'aware', 'few', 'fantastic', 'reserve', 'be']"
La Tremoille Paris,"['perfect', 'excellent', 'added', 'detail']"
Hotel Xenia Autograph Collection,"['transport', 'economical', 'great', 'polite', 'public', 'clean', 'local', 'lovely', 'more', 'tube', 'helpful', 'london']"
Villa Eugenie,"['accessible', 'much', 'clean', 'find', 'impressive', 'central']"
Hotel Plaza Elys es,"['underground', 'decent', 'paris', 'modern', 'friendly', 'good', 'excellent', 'clean', 'free']"
Hotel Champs Elys es Friedland by Happyculture,"['small', 'available', 'bad']"
Best Western Paris Gare Saint Lazare,"['do', 'fairy', 'new', 'pillow']"
Le Narcisse Blanc Spa,['expensive']
The Hoxton Holborn,"['most', 'better', 'helpfull', 'perfect', 'easy']"
H tel Regina,"['excellent', 'available']"
H tel Belloy Saint Germain By Happyculture,"['main', 'great', 'nice', 'extra', 'get', 'public', 'clean', 'positive', 'excellent', 'plunge', 'next', 'helpful', 'champagne']"
H tel Le M,"['nice', 'excellent', 'clean', 'public']"
H tel Paris Bastille Boutet MGallery by Sofitel,"['nice', 'street', 'quiet', 'exceptional', 'close', 'best', 'excellent', 'acceptable', 'many', 'warm', 'helpful', 'new', 'cheerful', 'paris', 'fantastic', 'comfortable', 'wonderful', 'cozy', 'reasonable', 'quick', 'private', 'modern', 'huge', 'metro', 'be']"
L Edmond H tel,"['great', 'i', 'polite', 'clean', 'recommend', 'metro', 'spacious', 'helpful', 't']"
Grange Beauchamp Hotel,"['reasonable', 'nearby', 'nice', 'good', 'theatreland', 'quiet', 'spacious', 'square', 'less', 'easy', 'high']"
H tel Vernet,"['useful', 'beautiful', 'nouveau', 'pleasant', 'perfect']"
The One Barcelona GL,"['beautiful', 'excellent', 'quiet', 'hot', 'passeig', 'easy', 'stay', 'short']"
Le Pavillon de la Reine Spa,"['tranquil', 'courteous', 'complimentary', 'convenient', 'own']"
Bloomsbury Palace Hotel,"['such', 'local']"
Royal Saint Michel,"['friendly', 'have', 'good', 'excellent', 'clean', 'many', 'fourth', 'quartier', 'great', 'other', 'give', 'info', 'hotel', 't', 'provide', 'notre', 'public', 'find', 'be']"
Hotel Square,"['great', 'private', 'good', 'several', 'positive', 'such', 'helpful']"
H tel Bourgogne Montana by MH,"['wish', 'friendly', 'good', 'excellent', 'safe', 'public', 'quiet', 'clean', 'heater', 'sandman', 'comfy', 'super', 'electronic']"
Holiday Inn Paris Op ra Grands Boulevards,"['good', 'underground']"
Le Belmont Champs Elys es,"['spa', 'great', 'underground', 'remember', 'safe', 'fantastic', 'next']"
BoB Hotel by Elegancia,"['little', 'reasonable', 'great', 'main', 'most', 'modern', 'friendly', 'many', 'have', 'find', 'spacious', 'light', 'stay', 'easy', 'comfortable', 'helpful', 'able']"
The Marble Arch London,"['main', 'friendly', 'nice', 'ncp', 'fantastic', 'perfect', 'next', 'london', 'visit']"
Prince de Galles a Luxury Collection hotel Paris,[]
H tel D Aubusson,"['friendly', 'good', 'excellent', 'notre', 'available', 'local', 'comfortable', 'helpful', 'attentive']"
ME London by Melia,"['drink', 'expensive', 'get', 'good', 'nightmare']"
Grange Clarendon Hotel,[]
Hotel Claridge Paris,"['underground', 'get', 'several', 'spacious', 'easy']"
DoubleTree by Hilton Hotel London Marble Arch,"['large', 'great', 'use', 'nice', 'good', 'opposite']"
Monsieur Cadet Hotel Spa Ex Meyerhold Spa ,['remind']
La Suite West Hyde Park,"['feel', 'great', 'modern', 'make', 'excellent', 'suitable', 'recommend', 'local']"
Le Tsuba Hotel,"['great', 'deduct', 'be', 'parking', 'new']"
The Marylebone Hotel,"['easy', 'pleasant', 'close', 'mix', 'bars']"
H tel Pont Royal,"['great', 'nearby', 'get', 'nice', 'public', 'good']"
Washington Mayfair Hotel,"['friendly', 'nice', 'good', 'local', 'high', 'comfy']"
H tel Mansart Esprit de France,"['great', 'nice', 'public', 'other', 'easy', 'comfortable']"
Residence Henri IV,"['overnight', 'great', 'eat', 'fantastic', 'open', 'cheap', 'comfortable', 'stay', 'landmarks', 'visit']"
Best Western Le 18 Paris,"['little', 'presented', 'good', 'clean', 'small', 'comfortable', 'warm']"
Fifty Four Boutique Hotel,"['great', 'london', 'isn', 'be']"
H tel Balzac,"['comfortable', 'great', 'normal', 'friendly']"
Le Relais Montmartre,"['genuine', 'great', 'many']"
AC Hotel Paris Porte Maillot by Marriott,"['friendly', 'light', 'convenient', 'large', 'good', 'auick', 'many', 'check', 'perfect', 'new', 'big', 'paris', 'several', 'cheap', 'easy', 'private', 'small', 'metro', 'local', 'smart', 'inner']"
Hotel VIU Milan,[]
Nell Hotel Suites,"['great', 'parking', 'accomodating', 'find']"
Best Western Hotel Montmartre Sacr Coeur,"['last', 'terrible', 'hot']"
