Hotel_Name,Descriptions
Monhotel Lounge SPA,"['couldn', 'better', 'modern', 'excellent', 'cosey', 'fantastic', 'close', 'stay']"
Hotel Scribe Paris Opera by Sofitel,"['take', 'friendly', 'nice', 'spacious', 'worth', 'professional', 'everybody', 'very', 'best', 'make', 'good', 'excellent', 'parisian', 'perfect', 'guest', 'go', 'helpful', 'laureen', 'great', 'eat', 'other', 'comfortable', 'concorde', 'french', 'unforgettable', 'recommend', 'find', 'splendid', 'walk', 'louvre']"
Haymarket Hotel,"['full', 'friendly', 'sublime', 'whole', 'turn', 'poor', 'efficient', 'make', 'good', 'excellent', 'clean', 'bright', 'special', 'perfect', 'enjoyed', 'comfy', 'theatre', 'helpful', 'great', 'enjoy', 'such', 'healthy', 'high', 'abrasive', 'wonderful', 'visit', 'china', 'quick', 'slow', 'huge', 'eclectic', 'central', 'following', 'english', 'lovely', 'welcome', 'cold']"
Belfast,"['friendly', 'nice', 'right', 'pleasant', 'next', 'okey', 'convenient', 'simple', 'ready', 'direct', 'i', 'ling', 'nearby', 'good', 'clean', 'perfect', 'act', 'helpful', 'big', 'opposite', 'short', 'great', 'fantastic', 'such', 'rer', 'arc', 'easy', 'more', 'comfortable', 't', 'early', 'cafe', 'tower', 'try', 'small', 'local', 'be', 'super', 'use']"
Atala Champs Elys es,"['large', 'enjoy', 'best', 'friendly', 'good', 'excellent', 'few', 'iranian', 'rue', 'many', 'find', 'champs', 'calm', 'relax', 'helpful', 'cousy']"
Holiday Inn Paris Montparnasse Pasteur,"['reasonable', 'eiffel', 'expect', 'central', 'enthusiasm', 'holiday']"
Les Plumes Hotel,"['wonderfull', 'friendly', 'powerful', 'return', 'quiet', 'safe', 'available', 'clean', 'many', 'interesting', 'present', 'intrusive', 'comfy', 'helpful', 'trendy', 'gard', 'great', 'enjoy', 'paris', 'confortable', 'fantastic', 'other', 'average', 'cor', 'comfortable', 'relaxed', 'cdg', 'wish', 'essential', 'help', 'public', 'monmatre', 'recommend', 'secure', 'hot', 'metro', 'local', 'short', 'various']"
Melia Paris Champs Elys es,"['best', 'nice', 'good', 'help', 'clean', 'pleasant', 'many', 'fluent', 'amazing', 'prepared', 'spoke']"
H tel Regina Op ra Grands Boulevards,"['modern', 'nice', 'good', 'get', 'next', 'helpful']"
The Wellesley Knightsbridge a Luxury Collection Hotel London,"['smartest', 'helpful', 'awesome', 'best']"
Le Marcel,"['feel', 'friendly', 'nice', 'good', 'safe', 'clean', 'many', 'restaurants', 'next', 'gare', 'major', 'est', 'homeless']"
Hotel Eden,[]
Ashburn Hotel,"['fresh', 'decent', 'friendly', 'nice', 'subway', 'do', 'quiet', 'complimentary', 'fine', 'spacious', 'close', 'italian', 'convenient', 'continental', 'i', 'underground', 'nearby', 'kensington', 'good', 'excellent', 'extra', 'beautiful', 'clean', 'many', 'everyday', 'best', 'free', 'v', 'accommodate', 'comfy', 'helpful', 'tube', 'big', 'late', 'great', 'most', 'get', 'few', 'luxurious', 'other', 'fantastic', 'ill', 'easy', 'high', 'comfortable', 'natural', 'pay', 'superb', 'visit', 'hotel', 'victoria', 'polite', 'saturday', 'supermarket', 'courteous', 's', 'small', 'hot', 'metro', 'national', 'gloucester', 'didn', 'various']"
H tel Square Louvois,"['long', 'friendly', 'nice', 'quiet', 'beautiful', 'clean', 'asian', 'oriental', 'helpful', 'warm', 'new', 'incredible', 'great', 'confortable', 'few', 'chic', 'indoor', 'korean', 'french', 'la', 'japanese', 'fayette', 'cave', 'unique', 'location', 'central', 'vietnamese', 'louvre', 'interesting']"
Le Grey Hotel,"['lazare', 'feel', 'large', 'much', 'st', 'nice', 'good', 'open', 'special', 'close', 'welcome', 'late']"
H tel San R gis,"['tea', 'i', 'friendly', 'nice', 'best', 'return', 'helpful', 'mary', 'serve', 'gentle', 'small', 'pack', 'perfect', 'professional', 'possible', 'high', 'individual', 'incredible']"
Le 123 Elysees Astotel,"['good', 'excellent', 'closed', 'arc', 'stay']"
Maxim Op ra,"['good', 'clean', 'many', 'perfect', 'basic', 'comfortable']"
Hotel Odeon Saint Germain,"['friendly', 'nice', 'cafes', 'return', 'have', 'fit', 'stylish', 'old', 'cramped', 'seine', 'make', 'good', 'excellent', 'safe', 'clean', 'beautiful', 'many', 'perfect', 'outstanding', 'daily', 'helpful', 'stay', 'latin', 'great', 'better', 'happy', 'enough', 'fantastic', 'average', 'boutique', 'easy', 'enjoyable', 'comfortable', 'triple', 'reasonable', 'useful', 'polite', 'notre', 'courteous', 'small', 'metro', 'english', 'walk', 'smile', 'attentive', 'real']"
The Henrietta Hotel,"['national', 'good', 'covent']"
Hotel Mercure La Sorbonne Saint Germain des Pr s,"['great', 'friendly', 'get', 'few', 'complimentary', 'have', 'stay', 'wonderful']"
Hotel Le Six,"['little', 'main', 'quiet', 'professional', 'overall', 'large', 'i', 'nearby', 'good', 'excellent', 'clean', 'perfect', 'helpful', 'stay', 'great', 'though', 'such', 'provide', 'expensive', 'local', 'numerous']"
Windermere Hotel,"['suite', 'comfortable', 'adjacent']"
H tel Madison by MH,"['friendly', 'nice', 'st', 'spacious', 'close', 'junior', 'du', 'beautiful', 'extra', 'excellent', 'good', 'clean', 'many', 'important', 'spend', 'christian', 'stay', 'helpful', 'european', 'unstuffy', 'booked', 'great', 'pavement', 'larger', 'easy', 'comfortable', 'cafe', 'wonderful', 'reasonable', 'notre', 'huge', 'metro', 'short', 'particular']"
Ritz Paris,"['wait', 'i', 'sit', 'most', 'get', 'many', 'outside', 'peculiar', 'difficult', 'realise', 'hotel', 'leave']"
Au Manoir Saint Germain,"['main', 'bistros', 'friendly', 'nice', 'distance', 'subway', 'right', 'quiet', 'spacious', 'pharmacy', 'next', 'charming', 'running', 'professional', 'fabulous', 'brush', 'historic', 'best', 'good', 'excellent', 'parisian', 'clean', 'massive', 'many', 'perfect', 'special', 'helpful', 'explore', 'great', 'buzzier', 'several', 'cosy', 'other', 'easy', 'superior', 'comfortable', 'cafe', 'french', 'wonderful', 'useful', 'polite', 'expensive', 'small', 'metro', 'local', 'hot', 'be', 'major', 'double']"
D clic Hotel,"['nice', 'residential', 'bakery', 'short']"
Bulgari Hotel London,"['excellent', 'short']"
Best Western Paris Gare Saint Lazare,"['little', 'unique', 'nice', 'clean', 'irish', 'many', 'central', 'vry', 'be', 'easy', 'comfortable', 'wonderful', 'daily']"
Splendide Royal Paris,['nice']
Le Narcisse Blanc Spa,"['large', 'great', 'talented', 'capable', 'get', 'nice', 'please', 'popular', 'fantastic', 'small', 'special', 'canadian', 'minute', 'young', 'last', 'comfortable', 'helpful']"
H tel Les Dames du Panth on,"['little', 'much', 'friendly', 'quiet', 'busy', 'next', 'last', 'du', 'sumptuous', 'gorgeous', 'best', 'beautiful', 'nearby', 'many', 'common', 'airport', 'interior', 'great', 'get', 'scrambled', 'other', 'rotary', 'easy', 'comfortable', 'wonderful', 'modern', 'tell', 'gracious', 'delightful', 'least', 'beamed', 'super']"
Hotel Maison Ath n e,"['great', 'major', 'paris', 'nice', 'good', 'excellent', 'quiet', 'small', 'metro', 'exceptional', 'english', 'comfy', 'spacious', 'super', 'quaint', 'comfortable', 'helpful']"
H tel Ad le Jules,"['ok', 'friendly', 'nice', 'reliable', 'have', 'spacious', 'fabulous', 'authentic', 'morrocan', 'beautiful', 'good', 'excellent', 'parisian', 'clean', 'sacre', 'perfect', 'lys', 'go', 'helpful', 'big', 'new', 'great', 'paris', 'wifi', 'eat', 'other', 'average', 'larger', 'give', 'shop', 'easy', 'comfortable', 'french', 'modern', 'notre', 'find', 'small', 'metro', 'english', 'basic', 'lovely', 'louvre', 'short']"
First Hotel Paris Tour Eiffel,"['peaceful', 'see', 'friendly', 'nice', 'right', 'hear', 'close', 'stylish', 'good', 'noisy', 'clean', 'many', 'perfect', 'young', 'stay', 'helpful', 'great', 'few', 'other', 'easy', 'comfortable', 'first', 'wonderful', 'polite', 'modern', 'public', 'small', 'english', 'bed', 'walk', 'lovely']"
Hotel Dupond Smith,"['i', 'great', 'efficient', 'desk', 'refill', 'expensive', 'friendly', 'overall', 'helpful']"
La Villa Royale,"['great', 'close', 'fantastic']"
H tel Belloy Saint Germain By Happyculture,"['friendly', 'nice', 'whole', 'complimentary', 'amazing', 'next', 'close', 'convenient', 'champagne', 'yummy', 'good', 'excellent', 'speak', 'clean', 'many', 'touch', 'free', 'go', 'shower', 'helpful', 'late', 'latin', 'great', 'paris', 'get', 'eat', 'fantastic', 'top', 'monoprix', 'rer', 'say', 'cafe', 'wonderful', 'tower', 'cozy', 'handy', 'cdg', 'ask', 'notre', 'gracious', 'public', 'huge', 'dame', 'small', 'metro', 'english', 'luxembourg', 'west', 'lovely', 'delicious']"
H tel Le M,"['full', 'little', 'main', 'incessant', 'suit', 'nice', 'le', 'chipped', 'quiet', 'pleasant', 'tega', 'spacious', 'charming', 'close', 'overall', 'stylish', 'convenient', 'train', 'impressed', 'hang', 'homeless', 'tour', 'upcoming', 'nearby', 'compact', 'best', 'excellent', 'good', 'clean', 'many', 'awesome', 'perfect', 'bravo', 'go', 'shower', 'comfy', 'helpful', 'stay', 'theatre', 'art', 'don', 'great', 'ouest', 'paris', 'hungry', 'better', 'get', 'few', 'outward', 'fantastic', 'other', 'bathtub', 'less', 'comfortable', 'sketchy', 'superb', 'modern', 'public', 'different', 'courteous', 'huge', 's', 'small', 'metro', 'local', 'amongst', 'vibrant', 'expert', 'english', 'spelled', 'uneven', 'use']"
Mercure Paris Notre Dame Saint Germain des Pr s,"['main', 'st', 'friendly', 'spacious', 'exceptional', 'good', 'safe', 'excellent', 'clean', 'many', 'browse', 'stay', 'helpful', 'latin', 'great', 'cosy', 'other', 'easy', 'comfortable', 'handy', 'notredame', 'modern', 'notre', 'metro', 'local', 'use']"
Mercure Paris Montparnasse Raspail,"['uk', 'nice', 'friendly', 'convenient', 'good', 'excellent', 'speak', 'spoilt', 'safe', 'many', 'young', 'free', 'stay', 'eager', 'great', 'several', 'less', 'easy', 'cafe', 'french', 'cozy', 'couple', 'help', 'breakfast', 'metro']"
Golden Tulip Bercy Gare de Lyon 209,"['remember', 'decent', 'black', 'long', 'bercy', 'right', 'fine', 'slim', 'next', 'thank', 'mind', 'happier', 'i', 'beautiful', 'good', 'excellent', 'check', 'sad', 'young', 'shower', 'helpful', 'warm', 'short', 'great', 'paris', 'tall', 'few', 'eat', 'fantastic', 'other', 'truly', 'sure', 'easy', 'comfortable', 'first', 'greek', 'find', 'small', 'metro', 'local', 'be', 'use']"
