Hotel_Name,Descriptions
Apex Temple Court Hotel,"['equiped', 'decent', 'friendly', 'blackfriars', 'atmosphere', 'pleasant', 'spotless', 'start', 'i', 'memorable', 'quit', 'historic', 'unfriendly', 'cool', 'many', 'same', 'arrival', 'practical', 'plentiful', 'biggest', 'eat', 'other', 'carry', 'top', 'red', 'smaller', 'london', 'flakey', 'hundred', 'stressful', 'hot', 'real', 'wait', 'exceptional', 'understandable', 'important', 'restaurant', 'unhelpful', 'willing', 'enjoyable', 'tower', 'christmas', 'minor', 'requested', 'green', 'confy', 'walk', 'uninspiring', 'celebrate', 'attentive', 'short', 'ok', 'fresh', 'amazing', 'obliging', 'attentative', 'surly', 'congratulate', 'genuine', 'perfect', 'stereotypical', 'name', 'convent', 'need', 'sure', 'cheap', 'kinder', 'hotel', 'informed', 'nespresso', 'smiley', 'gimmick', 'south', 'courteous', 'contemporary', 'small', 'least', 'goodnall', 'attempt', 'much', 'drinks', 'met', 'do', 'gorgeous', 'email', 'beautiful', 'musical', 'entire', 'classy', 'difficult', 'tube', 'stay', 'big', 'impeccable', 'immaculate', 'nye', 'frequent', 'flexible', 'easy', 'square', 'early', 'front', 'dark', 'prefer', 'golden', 'central', 'bed', 'keen', 'upper', 'lovely', 'flashy', 'use', 'legal', 'peaceful', 'little', 'phenomenal', 'trite', 'busy', 'ben', 'satisfactory', 'close', 'look', 'extreme', 'old', 'keep', 'knowledgable', 'massive', 'clean', 'covent', 'awesome', 'check', 'special', 'finish', 'outstanding', 'comfy', 'warm', 'marvelous', 'trained', 'website', 'luxurious', 'such', 'due', 'hugh', 'able', 'cozy', 'impersonal', 'reasonable', 'sit', 'oxford', 'marvellous', 'uninformed', 'atmospheric', 'summary', 'want', 'decor', 'equipped', 'paul', 'super', 'delicious', 'cold', 'full', 'see', 'ideal', 'next', 'assist', 'detail', 'step', 'shower', 'consistent', 'rude', 'heard', 'cheerful', 'respectful', 'high', 'magnificent', 'unexpected', 'elemis', 'cathedral', 'saturday', 'public', 'different', 'afield', 'double', 'regret', 'heathrow', 'convenient', 'fault', 'feel', 'fabulous', 'lush', 'eleven', 'fourth', 'asian', 'surprising', 'better', 'exquisite', 'upgraded', 'gluten', 'quick', 'help', 'recommend', 'location', 'ensuite', 'didn', 'italian', 'birthday', 'long', 'personal', 'reliable', 'have', 'apex', 'excellent', 'free', 'multiple', 'accessible', 'believe', 'ill', 'give', 'sloppy', 'wonderful', 'know', 'expensive', 'locate', 'west', 'responsive', 'elephant', 'numerous', 'british', 'brilliant', 'main', 'black', 'return', 'junior', 'large', 'expect', 'hi', 'exelent', 'def', 'helpful', 'prepare', 'housekeeping', 'quirky', 'happen', 'neat', 'robes', 'end', 'basic', 'take', 'athe', 'suit', 'quiet', 'poor', 'understand', 'ready', 'thank', 'wide', 'couldn', 'fleet', 'speak', 'restful', 'etc', 'bar', 'new', 'late', 'don', 'explore', 'average', 'more', 'superior', 'fab', 'visit', 'considerate', 'intimate', 'annoying', 'soft', 'be', 'knowldegeable', 'shortages', 'suite', 'unobtrusive', 'approachable', 'complimentary', 'impressive', 'overall', 'stylish', 'underground', 'extra', 'type', 'forget', 'interior', 'middle', 'general', 't', 'polite', 'unique', 'opt', 'terrific', 'smart', 'welcome', 'aloof', 'fair', 'street', 'standard', 'spacious', 'promote', 'professional', 'second', 'last', 'go', 'quietness', 'fantastic', 'receive', 'satellite', 'superb', 'stayed', 'pay', 'grim', 'modern', 'ask', 'seem', 'work', 'find', 'mobile', 'door', 'pre', 'thameslink', 'individual', 'st', 'nice', 'only', 'impressed', 'quickest', 'efficient', 'good', 'near', 'noisy', 'sized', 'attractive', 'anniversary', 'bonus', 'strategic', 'pleased', 'oxo', 'called', 'several', 'let', 'hesitate', 'stocked', 'welcoming', 'curtious', 'luxury', 'unbeatable', 'lasting', 'courtyard', 'knowledgeable', 'sleek', 'impatient', 'deal', 'best', 'collect', 'prepared', 'separate', 'theatre', 'clever', 'incredible', 'tasteful', 'great', 'happy', 'carte', 'relax', 'surj', 'e', 'wish', 'higher', 's', 'appreciated', 'supportive', 'optional', 'inner', 'possible', 'major', 'call', 'unavailable', 'desk', 'channels', 'ten', 'tricky', 'withy', 'hard', 'transport', 'formal', 'touch', 'total', 'young', 'cake', 'confortable', 'future', 'few', 'treat', 'further', 'temple', 'own', 'nicer', 'pillow', 'evening', 'replace', 'dual', 'romantic', 'slow', 'comfort', 'delayed', 'ensure', 'amenable', 'uk', 'whole', 'come', 'upgrade', 'leave', 'make', 'love', 'relaxing', 'furnishing', 'most', 'get', 'carefree', 'cosy', 'run', 'comfortable', 'first', 'say', 'huge', 'delightful', 'breakfast', 'single', 'particular']"
Monhotel Lounge SPA,"['wonderfull', 'ok', 'friendly', 'nice', 'faux', 'quiet', 'knowledgeable', 'amazing', 'unacceptable', 'close', 'stylish', 'delete', 'ready', 'quite', 'best', 'good', 'excellent', 'glamour', 'copy', 'airport', 'relocate', 'helpful', 'accessible', 'great', 'most', 'confortable', 'general', 'slalom', 'sure', 'easy', 'arc', 'pro', 'high', 'comfortable', 'e', 'useful', 'turistic', 'help', 'arrive', 'metro', 'cvv', 'responsive', 'be', 'attentive', 'use', 'active']"
The Principal London,"['decent', 'friendly', 'infact', 'atmosphere', 'pleasant', 'uncomfortable', 'worse', 'informative', 'very', 'start', 'i', 'memorable', 'bad', 'historic', 'noticeable', 'unfriendly', 'george', 'cool', 'many', 'same', 'dreadful', 'arrival', 'commendable', 'spend', 'bus', 'absolute', 'chandelier', 'tripped', 'lovley', 'max', 'biggest', 'enough', 'eat', 'other', 'top', 'smaller', 'competent', 'london', 'laundry', 'hundred', 'try', 'hot', 'affordable', 'put', 'real', 'grandiose', 'disabled', 'right', 'exceptional', 'stated', 'mile', 'realise', 'kept', 'important', 'asleep', 'insane', 'remedy', 'spectacular', 'chatty', 'restaurant', 'unhelpful', 'willing', 'careful', 'enjoyable', 'appear', 'meet', 'minor', 'national', 'requested', 'comftable', 'walk', 'celebrate', 'attentive', 'short', 'ok', 'fresh', 'amazing', 'elegant', 'light', 'compact', 'genuine', 'break', 'suitable', 'perfect', 'save', 'bring', 'eager', 'convent', 'unpleasant', 'need', 'dismissive', 'sure', 'cheap', 'expected', 'arnold', 'hotel', 'cafe', 'post', 'mention', 'courteous', 'small', 'favourite', 'impeccably', 'local', 'least', 'multi', 'much', 'angry', 'do', 'doesn', 'move', 'simple', 'gorgeous', 'trustworthy', 'nearby', 'beautiful', 'grande', 'abysmal', 'entire', 'sight', 'difficult', 'tube', 'stay', 'big', 'substantial', 'opulent', 'insufficient', 'easy', 'glamorous', 'square', 'early', 'station', 'proper', 'front', 'prefer', 'golden', 'indifferent', 'american', 'refurbishment', 'central', 'ride', 'lovely', 'attend', 'use', 'little', 'busy', 'close', 'fit', 'look', 'old', 'train', 'sumptuous', 'past', 'keep', 'knowledgable', 'bernard', 'covent', 'clean', 'awesome', 'negative', 'check', 'special', 'finish', 'park', 'outstanding', 'inside', 'comfy', 'warm', 'marvelous', 'russell', 'garden', 'trained', 'rented', 'luxurious', 'such', 'due', 'rounded', 'boris', 'able', 'reasonable', 'oxford', 'atmospheric', 'reflect', 'decor', 'die', 'super', 'delicious', 'cold', 'full', 'see', 'ideal', 'next', 'champagne', 'assist', 'detail', 'bothersome', 'dirty', 'common', 'shower', 'fix', 'rude', 'cheerful', 'pathetic', 'larger', 'u', 'high', 'magnificent', 'unexpected', 'dirtiest', 'saturday', 'offer', 'public', 'hall', 'terrible', 'switch', 'sacked', 'ur', 'double', 'added', 'undergound', 'plenty', 'wash', 'heathrow', 'convenient', 'hope', 'fault', 'feel', 'fabulous', 'provided', 'accommodate', 'victorian', 'daily', 'better', 'beautifull', 'exquisite', 'upgraded', 'lovey', 'bebita', 'quick', 'help', 'location', 'recommend', 'english', 'touristic', 'didn', 'smile', 'conscientious', 'italian', 'birthday', 'certain', 'long', 'helpfull', 'have', 'dated', 'posh', 'iconic', 'quite', 'titanic', 'excellent', 'deluxe', 'likely', 'free', 'multiple', 'lucky', 'accessible', 'bloody', 'twin', 'com', 'less', 'give', 'alert', 'talk', 'wonderful', 'french', 'know', 'benefit', 'expensive', 'popular', 'west', 'responsive', 'rainy', 'obvious', 'british', 'brilliant', 'main', 'return', 'attitude', 'junior', 'continental', 'disturb', 'large', 'presentable', 'initial', 'safe', 'resolve', 'previous', 'north', 'awful', 'helpful', 'prepare', 'usual', 'request', 'open', 'unplesant', 'pregnant', 'grumpy', 'end', 'basic', 'original', 'take', 'think', 'continual', 'quiet', 'drive', 'poor', 'ready', 'specific', 'wide', 'surprised', 'tradional', 'direct', 'wouldn', 'speak', 'loose', 'disappoint', 'bar', 'new', 'late', 'explore', 'deep', 'classic', 'average', 'thoughtful', 'more', 'superior', 'fab', 'retro', 'visit', 'upmarket', 'brief', 'gardens', 'commanding', 'synthetic', 'unvomfortable', 'be', 'kitchen', 'approachable', 'complimentary', 'impressive', 'overall', 'underground', 'arrange', 'extra', 'back', 'concierge', 'ornate', 'interior', 'opposite', 'sort', 'architecture', 'general', 't', 'pleasing', 'slippy', 'reception', 'polite', 'unique', 'interested', 'delight', 'smart', 'kim', 'welcome', 'lemon', 'fair', 'international', 'loved', 'outside', 'recharge', 'standard', 'spacious', 'holborn', 'fine', 'professional', 'second', 'bath', 'flag', 'comprehend', 'overlooked', 'tiny', 'go', 'detailed', 'intrusive', 'impossible', 'fantastic', 'receive', 'shops', 'superb', 'pay', 'lower', 'bigger', 'modern', 'ask', 'work', 'find', 'door', 'following', 'drink', 'st', 'nice', 'exterior', 'impressed', 'sleep', 'friday', 'efficient', 'good', 'noisy', 'near', 'sized', 'anniversary', 'doorman', 'centre', 'disappointed', 'pleased', 'august', 'wifi', 'several', 'traditional', 'humorous', 'stunning', 'hesitate', 'let', 'roads', 'worn', 'frozen', 'grand', 'welcoming', 'curtious', 'splendid', 'unbeatable', 'cite', 'tiled', 'actual', 'euston', 'knowledgeable', 'oldest', 'enthusiastic', 'cramped', 'shampoo', 'deal', 'best', 'efficent', 'answer', 'plastic', 'v', 'theatre', 'incredible', 'sick', 'complementary', 'great', 'happy', 'relax', 'unhappy', 'e', 'hassle', 'wish', 'revisit', 'true', 's', 'possible', 'major', 'call', 'interesting', 'mary', 'please', 'ten', 'hard', 'available', 'comtable', 'young', 'marble', 'horrible', 'enjoy', 'few', 'faulty', 'nicer', 'own', 'evening', 'provide', 'slow', 'additional', 'esquisite', 'sullen', 'olde', 'ensure', 'whole', 'physical', 'generous', 'come', 'worth', 'upgrade', 'leave', 'make', 'love', 'relaxing', 'talkative', 'most', 'get', 'cosy', 'respect', 'corner', 'comfortable', 'commercial', 'say', 'first', 'down', 'huge', 'delightful', 'personable', 'incapable', 'older', 'single', 'particular']"
One Aldwych,"['brilliant', 'little', 'friendly', 'nice', 'atmosphere', 'pleasant', 'busy', 'uncomfortable', 'corteous', 'spotless', 'old', 'goose', 'sleep', 'large', 'i', 'memorable', 'unfriendly', 'like', 'good', 'covent', 'clean', 'many', 'special', 'anniversary', 'arrival', 'outstanding', 'wealthy', 'comfy', 'helpful', 'warm', 'absolute', 'honest', 'aleady', 'such', 'top', 'london', 'able', 'welcoming', 'cant', 'hot', 'want', 'super', 'delicious', 'real', 'electric', 'right', 'quiet', 'next', 'poor', 'best', 'detail', 'favorite', 'pleasurable', 'new', 'incredible', 'late', 'complementary', 'rude', 'great', 'cheerful', 'high', 'freindlier', 'amazimg', 'wonka', 'suggestive', 'tell', 'arrive', 'positive', 'minor', 'walk', 'be', 'attentive', 'short', 'unobtrusive', 'please', 'stylish', 'overall', 'feel', 'fabulous', 'magical', 'extra', 'available', 'perfect', 'tea', 'bring', 'better', 'need', 'prompt', 'provide', 'fruit', 'polite', 'mention', 'south', 'help', 'small', 'terrific', 'smart', 'celebratory', 'didn', 'welcome', 'upscale', 'recommended', 'birthday', 'much', 'long', 'uk', 'whole', 'have', 'spacious', 'come', 'duck', 'professional', 'leave', 'manage', 'gorgeous', 'beautiful', 'make', 'excellent', 'love', 'free', 'require', 'go', 'occasional', 'relaxing', 'big', 'get', 'fantastic', 'first', 'comfortable', 'wonderful', 'superb', 'front', 'private', 'ask', 'concerned', 'door', 'delightful', 'west', 'lovely', 'particular']"
Splendid Etoile,"['brilliant', 'little', 'main', 'friendly', 'nice', 'missing', 'airy', 'exillant', 'return', 'uncomfortable', 'leafy', 'old', 'large', 'i', 'bad', 'tidy', 'good', 'safe', 'clean', 'same', 'check', 'special', 'helpful', 'elysees', 'paris', 'limited', 'lit', 'proffesional', 'catch', 'eat', 'other', 'such', 'wine', 'sooooo', 'smaller', 'wan', 'super', 'justice', 'see', 'right', 'quiet', 'exceptional', 'travel', 'direct', 'best', 'detail', 'balcony', 'rude', 'incredible', 'bare', 'great', 'spectacular', 'classic', 'average', 'superior', 'high', 'fab', 'deffo', 'visit', 'furnished', 'different', 's', 'be', 'major', 'attentive', 'short', 'fresh', 'please', 'amazing', 'partial', 'convenient', 'overall', 'hope', 'nose', 'print', 'extra', 'perfect', 'young', 'inform', 'bring', 'opposite', 'enjoy', 'stop', 'better', 'confortable', 'sure', 't', 'la', 'polite', 'help', 'farouk', 'courteous', 'opt', 'recommend', 'small', 'english', 'flaw', 'welcome', 'helpfull', 'whole', 'do', 'have', 'spacious', 'worth', 'upgrade', 'iconic', 'beautiful', 'make', 'excellent', 'european', 'mr', 'stay', 'big', 'get', 'impossible', 'cosy', 'fantastic', 'champs', 'easy', 'first', 'comfortable', 'wonderful', 'early', 'say', 'front', 'superb', 'expensive', 'etoile', 'metro', 'lady', 'lovely', 'numerous', 'es']"
Hotel Trianon Rive Gauche,"['brilliant', 'little', 'main', 'decent', 'counter', 'friendly', 'nice', 'st', 'pleasant', 'only', 'uncomfortable', 'close', 'fit', 'spotless', 'old', 'large', 'i', 'efficient', 'keep', 'good', 'antique', 'cool', 'clean', 'safe', 'many', 'picturesque', 'check', 'same', 'helpful', 'stroll', 'request', 'paris', 'limited', 'schoolboy', 'several', 'enough', 'open', 'other', 'top', 'rer', 'younger', 'store', 'neat', 'herbal', 'reasonable', 'hot', 'affordable', 'super', 'full', 'fun', 'suit', 'subway', 'right', 'knowledgeable', 'quiet', 'exceptional', 'next', 'turn', 'poor', 'understand', 'direct', 'assist', 'best', 'g', 'cheaper', 'rude', 'new', 'late', 'don', 'latin', 'great', 'happy', 'classic', 'nicest', 'more', 'fab', 'meant', 'unexpected', 'e', 'unwilling', 'cathedral', 'sweet', 'higher', 'public', 'tell', 's', 'luxembourg', 'makeup', 'walk', 'be', 'possible', 'major', 'short', 'ok', 'fresh', 'remember', 'powerful', 'complimentary', 'eggs', 'overall', 'convenient', 'obliging', 'stylish', 'rich', 'fabulous', 'correct', 'yummy', 'extra', 'downtown', 'available', 'perfect', 'third', 'interior', 'umbrellas', 'eager', 'better', 'few', 'general', 'care', 'apologetic', 'replenished', 't', 'polite', 'help', 'notre', 'recommend', 'small', 'english', 'hospitable', 'first', 'much', 'sorbonne', 'long', 'typical', 'helpfull', 'do', 'have', 'tasty', 'spacious', 'come', 'second', 'similar', 'upgrade', 'follow', 'nearby', 'beautiful', 'excellent', 'wasn', 'tiny', 'free', 'go', 'stay', 'big', 'regular', 'most', 'get', 'cosy', 'touristy', 'fantastic', 'internet', 'easy', 'comfortable', 'left', 'wonderful', 'early', 'french', 'superb', 'add', 'say', 'cleanest', 'pay', 'indifferent', 'modern', 'montmartre', 'fridge', 'greek', 'gracious', 'dame', 'huge', 'find', 'ask', 'central', 'metro', 'work', 'personable', 'lovely', 'necessary', 'bathroom']"
Pullman Paris Centre Bercy,"['brilliant', 'little', 'drink', 'friendly', 'nice', 'return', 'pleasant', 'busy', 'multilingual', 'tad', 'uncomfortable', 'close', 'overpriced', 'large', 'i', 'efficient', 'bad', 'keep', 'good', 'safe', 'clean', 'many', 'check', 'special', 'ultra', 'ms', 'outstanding', 'disturbed', 'comfy', 'helpful', 'paris', 'complete', 'trained', 'wifi', 'luxurious', 'eat', 'other', 'top', 'competent', 'cinema', 'hot', 'want', 'plug', 'super', 'delicious', 'halal', 'wait', 'see', 'rest', 'electric', 'alcoholic', 'knowledgeable', 'quiet', 'place', 'ideal', 'exceptional', 'next', 'kept', 'wide', 'outdoor', 'best', 'speak', 'n', 'important', 'secluded', 'calm', 'cheaper', 'shower', 'etc', 'gentile', 'rude', 'cleanliness', 'unable', 'great', 'cheerful', 'happy', 'restaurant', 'willing', 'thoughtful', 'enjoyable', 'more', 'high', 'visit', 'kindness', 'sugary', 'different', 's', 'positive', 'supportive', 'incompetent', 'soft', 'be', 'major', 'straight', 'mercy', 'attentive', 'call', 'duplex', 'fresh', 'bercy', 'complimentary', 'amazing', 'overall', 'feel', 'fabulous', 'minimal', 'low', 'excessible', 'available', 'incl', 'third', 'name', 'forget', 'daily', 'electronic', 'bastille', 'enjoy', 'cover', 'few', 'chic', 'lively', 't', 'provide', 'pullman', 'quick', 'smiley', 'polite', 'mention', 'cut', 'help', 'recommend', 'small', 'local', 'english', 'discourteous', 'welcome', 'valuable', 'various', 'much', 'charge', 'eiffel', 'helpfull', 'whole', 'do', 'appt', 'have', 'outside', 'tasty', 'fine', 'spacious', 'come', 'international', 'move', 'second', 'professional', 'crazy', 'complex', 'gorgeous', 'nearby', 'beautiful', 'excellent', 'bottled', 'entire', 'free', 'stay', 'lucky', 'accessible', 'get', 'fantastic', 'eric', 'easy', 'comfortable', 'first', 'wonderful', 'pay', 'superb', 'front', 'show', 'modern', 'work', 'gracious', 'rudest', 'find', 'gentle', 'central', 'metro', 'heaven', 'alternative', 'lovely', 'numerous']"
Gardette Park Hotel,"['brilliant', 'little', 'main', 'friendly', 'nice', 'pleasant', 'allocate', 'close', 'old', 'pere', 'large', 'i', 'good', 'safe', 'clean', 'many', 'same', 'picturesque', 'arrival', 'adorable', 'disappointed', 'comfy', 'helpful', 'warm', 'paris', 'enough', 'other', 'carry', 'boutique', 'grumpy', 'welcoming', 'want', 'basic', 'put', 'delicious', 'squeeze', 'quiet', 'next', 'poor', 'ready', 'wide', 'inexpensive', 'closer', 'coziness', 'collect', 'shower', 'rude', 'great', 'happy', 'superior', 'more', 'handy', 'sweet', 'public', 'green', 'be', 'possible', 'major', 'double', 'interesting', 'sterilise', 'ok', 'fresh', 'cafes', 'lift', 'overall', 'transport', 'respond', 'extra', 'perfect', 'iron', 'accommodate', 'upstairs', 'enjoy', 'general', 'need', 'polite', 'friend', 'help', 'recommend', 'small', 'local', 'english', 'terrific', 'much', 'approach', 'personal', 'helpfull', 'do', 'normal', 'have', 'tasty', 'come', 'worth', 'similar', 'leave', 'immediate', 'nearby', 'make', 'beautiful', 'excellent', 'tiny', 'free', 'go', 'difficult', 'accessible', 'aware', 'presumed', 'fantastic', 'isn', 'easy', 'comfortable', 'wonderful', 'pj', 'bigger', 'modern', 'unprofessional', 'find', 'acknowledge', 'metro', 'responsive', 'upper', 'lovely', 'necessary', 'louvre', 'use']"
Hotel Scribe Paris Opera by Sofitel,"['dog', 'little', 'main', 'friendly', 'nice', 'phenomenal', 'return', 'pleasant', 'close', 'everybody', 'laurine', 'look', 'junior', 'firmer', 'very', 'i', 'memorable', 'efficient', 'initial', 'good', 'resolve', 'clean', 'many', 'same', 'special', 'disappointed', 'alcove', 'helpful', 'warm', 'lumiere', 'paris', 'eat', 'enough', 'other', 'wine', 'bilingual', 'concorde', 'unforgettable', 'splendid', 'reflect', 'super', 'take', 'ideal', 'exceptional', 'next', 'casual', 'best', 'guest', 'change', 'separate', 'incredible', 'late', 'great', 'unable', 'happy', 'willing', 'more', 'high', 'cloud', 'solve', 'meet', 'soft', 'be', 'picture', 'attentive', 'mark', 'complimentary', 'amazing', 'overall', 'convenient', 'miss', 'feel', 'fabulous', 'significant', 'extra', 'perfect', 'tea', 'laureen', 'better', 'general', 'nespresso', 'polite', 'courteous', 'recommend', 'small', 'inefficient', 'key', 'scribe', 'spacious', 'come', 'worth', 'professional', 'move', 'upgrade', 'leave', 'gorgeous', 'make', 'excellent', 'go', 'stay', 'most', 'get', 'fantastic', 'sloppy', 'comfortable', 'first', 'early', 'french', 'roissybus', 'match', 'superb', 'wonderful', 'know', 'expensive', 'seem', 'find', 'central', 'delightful', 'penny', 'bed', 'louvre']"
Haymarket Hotel,"['peaceful', 'little', 'friendly', 'nice', 'return', 'atmosphere', 'pleasant', 'uncomfortable', 'watch', 'memorable', 'efficient', 'expect', 'keep', 'like', 'good', 'clean', 'special', 'soanish', 'arrival', 'comfy', 'helpful', 'trafalgar', 'luxurious', 'quirky', 'other', 'such', 'top', 'stunning', 'younger', 'london', 'hot', 'decor', 'super', 'delicious', 'cold', 'full', 'offered', 'fun', 'esp', 'take', 'sublime', 'quiet', 'turn', 'poor', 'ready', 'wide', 'tranquil', 'best', 'answer', 'detail', 'half', 'prepared', 'theatre', 'tasteful', 'cleanliness', 'great', 'happy', 'healthy', 'thoughtful', 'enjoyable', 'high', 'lounging', 'visit', 'national', 'unsociable', 'attentive', 'amazing', 'elegant', 'feel', 'fabulous', 'print', 'attentative', 'extra', 'exemplary', 'bright', 'perfect', 'concierge', 'enjoy', 'better', 'few', 'need', 'exquisite', 't', 'quick', 'slow', 'recommend', 'favourite', 'english', 'didn', 'welcome', 'key', 'personal', 'whole', 'have', 'professional', 'gorgeous', 'handwritten', 'make', 'excellent', 'secret', 'classy', 'relaxing', 'stay', 'big', 'fantastic', 'cleanest', 'comfortable', 'wonderful', 'white', 'square', 'superb', 'abrasive', 'modern', 'huge', 'central', 'following', 'delightful', 'lovely', 'snooty']"
