Hotel_Name,Descriptions
The Ampersand Hotel,"['great', 'fresh', 'excellent', 'clean', 'shower', 'london', 'apero']"
H tel Duo,"['trendy', 'i', 'original', 'small', 'ideal', 'chic', 'second', 'last', 'old']"
Hilton London Paddington,"['grand', 'nice', 'get', 'picturesque', 'central', 'unbeatable', 'tea', 'big']"
Mill sime H tel,[]
The Park City Grand Plaza Kensington Hotel,"['take', 'listen', 'i', 'enjoy', 'large', 'little', 'friendly', 'nice', 'sweet', 'clean', 'standard', 'spacious', 'rustic', 'overall', 'convenient', 'ready', 'crisp']"
La Villa Royale,"['take', 'use', 'lift', 'amazing', 'artisty', 'bother', 'beatiuful', 'perfect', 'stay', 'great', 'most', 'few', 'pigalle', 'unique', 'local', 'be', 'hear', 'delicious', 'interesting']"
The Royal Horseguards,"['great', 'wish', 'historic', 'nice', 'grande', 'entire', 'amazing', 'perfect', 'national', 'older', 'liberal']"
Simply Rooms Suites,[]
The Portobello Hotel,"['great', 'better', 'last', 'narrow', 'top', 'fi', 'tiny', 'iffy', 'first', 'double']"
Landmark London,"['fresh', 'queen', 'flat', 'atrium', 'tasty', 'next', 'earlier', 'lobby', 'boots', 'large', 'efficient', 'beautiful', 'back', 'check', 'sad', 'mini', 'separate', 'cushy', 'helpful', 'warm', 'marble', 'incredible', 'tasteful', 'great', 'pretty', 'fantastic', 'smaller', 'magnificent', 'prompt', 'lower', 'quick', 'grand', 'welcoming', 'gracious', 'different', 'huge', 'stationary', 'single', 'fabric', 'use']"
Park Plaza Victoria London,"['little', 'keep', 'tricky', 'easier', 'unlock']"
Rosewood London,"['softest', 'quiet', 'amazing', 'holborn', 'parmesan', 'best', 'massive', 'previous', 'exciting', 'outstanding', 'ornate', 'marble', 'happy', 'quirky', 'shrimp', 'superb', 'match', 'grand', 'glorious', 'delicious']"
Holiday Inn Paris Op ra Grands Boulevards,"['quite', 'remote', 'be', 'go', 'old', 'heavy', 'dark']"
Best Western Bretagne Montparnasse,"['i', 'spiral', 'clean', 'small', 'tricky', 'thin', 'be', 'hear', 'more']"
H tel Champs lys es Plaza,"['perfect', 'extra', 'comfortable', 'spiral']"
Grange Strathmore Hotel,"['great', 'modern', 'helpful', 'shops', 'original', 'lounge', 'old']"
Novotel London Wembley,"['brilliant', 'friendly', 'helpful', 'clean', 'quiet', 'white', 'crisp']"
Sanderson A Morgans Hotel,"['entertain', 'young']"
W12 Rooms,"['choose', 'fresh', 'flat', 'normal', 'outside', 'large', 'safe', 'excellent', 'clean', 'warm', 'carry', 'due', 'isn', 'more', 'first', 'cozy', 'contemporary', 'small', 'be']"
Hotel Royal Elys es,"['broken', 'tiny', 'storage']"
citizenM London Shoreditch,"['main', 'little', 'much', 'like']"
Hotel Ares Eiffel,"['great', 'giant', 'good', 'charming', 'staircase', 'gorgeous']"
Relais H tel du Vieux Paris,"['characterful', 'disabled', 'spiral', 'compact', 'notre', 'suitable', 'cosy', 'quiet', 'fantastic', 'tiny', 'climb', 'be', 'difficult']"
The Waldorf Hilton,"['little', 'plain', 'nice', 'ordinary', 'have', 'fine', 'elegant', 'mythical', 'overall', 'old', 'gorgeous', 'gym', 'i', 'initial', 'beautiful', 'noisy', 'clean', 'many', 'wasn', 'shower', 'marble', 'consequently', 'police', 'open', 'comfortable', 'first', 't', 'wonderful', 'pay', 'clear', 'public', 's', 'small', 'be', 'possible', 'straight']"
Corendon Vitality Hotel Amsterdam,"['commercial', 'long']"
Pillows Anna van den Vondel Amsterdam,[]
Schlosshotel R mischer Kaiser,[]
Hotel Pulitzer,"['bad', 'expect', 'have', 'small', 'least', 'comfortable', 'serving']"
Petit Palace Boqueria Garden,"['much', 'friendly', 'poor', 'informative', 'good', 'excellent', 'noisy', 'back', 'ricky', 'free', 'helpful', 'great', 'most', 'wooden', 'first', 'early', 'laundry', 'grand', 'expensive']"
Durrants Hotel,"['good', 'comfortable', 'historic']"
Bilderberg Hotel Jan Luyken,"['perfect', 'such', 'old', 'fitting']"
Hotel Dieci,[]
Hampshire Hotel The Manor Amsterdam,"['perfect', 'clean', 'beautiful', 'friendly']"
Vincci Maritimo,['high']
JUFA Hotel Wien,[]
Mercure Amsterdam Sloterdijk Station,[]
Onix Liceo,"['quietest', 'modern']"
Das Opernring Hotel,"['say', 'old', 'be']"
The Ned,"['public', 'numerous']"
Grand Hotel Amr th Amsterdam,"['comfortable', 'fresh', 'beautiful', 'nice', 'special', 'free', 'labyrinth', 'high', 'helpful', 'delicious', 'front']"
Hotel Roemer Amsterdam,['noisy']
Hotel de France Wien,"['old', 'wonderful', 'grand', 'sweeping']"
Park Hotel,"['little', 'tasty']"
Amba Hotel Charing Cross,"['birthday', 'decent', 'nice', 'complimentary', 'old', 'gorgeous', 'i', 'good', 'scrumptious', 'check', 'perfect', 'free', 'shower', 'planned', 'helpful', 'great', 'few', 'more', 'comfortable', 'wonderful', 'london', 'early', 'able', 'provide', 'nespresso', 'interactive', 'grand', 'ask', 'central', 'attentive']"
Camperio House Suites Apartments,"['castle', 'fabulous', 'great', 'grand', 'cathedral', 'safe', 'twin', 'spacious', 'female', 'easy', 'comfortable', 'helpful']"
Good Hotel London,[]
Park Plaza Westminster Bridge London,"['plenty', 'explain', 'find', 'be', 'difficult']"
Amsterdam Canal Residence,"['narrow', 'carry', 'willing', 'more', 'heavy']"
