Hotel_Name,Descriptions
K K Hotel George,"['fresh', 'nice', 'quiet', 'complimentary', 'gorgeous', 'quite', 'keep', 'beautiful', 'inside', 'great', 'open', 'relax', 'boutique', 'comfortable', 'lower', 'higher', 'different', 's', 'english', 'lovely', 'earl']"
Monhotel Lounge SPA,"['turistic', 'help', 'glamour', 'amazing', 'high', 'ready']"
One Aldwych,"['good', 'helpful', 'friendly']"
Splendid Etoile,[]
Milestone Hotel Kensington,"['jacamo', 'friendly', 'nice', 'return', 'live', 'exceptional', 'worth', 'i', 'best', 'make', 'beautiful', 'clean', 'picturesque', 'go', 'great', 'immaculate', 'upbeat', 'enough', 'care', 'such', 'willing', 'sure', 'store', 'own', 'wonderful', 'romantic', 'welcoming', 'english', 'constant', 'welcome']"
H tel De Vend me,"['website', 'old', 'clean', 'disappointed']"
Hotel Panache,[]
Hotel Le 10 BIS,"['large', 'i', 'modern', 'friendly', 'good', 'quiet', 'side', 'push', 'stay', 'particulary', 'more', 'old']"
Covent Garden Hotel,"['little', 'feel', 'make', 'gracious', 'only', 'second', 'impeccable']"
The Nadler Victoria,"['little', 'full', 'see', 'bodega', 'friendly', 'nice', 'rubbish', 'right', 'quiet', 'have', 'amazing', 'professional', 'convenient', 'stylish', 'large', 'i', 'solid', 'memorable', 'direct', 'keep', 'make', 'good', 'safe', 'resolve', 'negative', 'important', 'favorite', 'many', 'belgravia', 'pleased', 'helpful', 'stay', 'new', 'big', 'short', 'great', 'buckingham', 'royal', 'most', 'better', 'happy', 'get', 'eat', 'other', 'fantastic', 'boutique', 'easy', 'more', 'comfortable', 'high', 'london', 'own', 't', 'modern', 'american', 'huge', 'small', 'following', 'sophie', 'be', 'lovely', 'didn', 'super', 'attend', 'use']"
Maison Souquet,"['great', 'fantastic', 'small', 'be', 'interior']"
Hotel Tour d Auvergne Opera,"['great', 'modern', 'friendly', 'classic', 'quiet', 'awesome', 'recommend', 'comfortable', 'helpful']"
Bradford Elys es Astotel,"['good', 'excellent', 'quiet', 'champs', 'chic', 'lys', 'free', 'comfortable', 'french']"
Crowne Plaza London Kensington,"['much', 'fresh', 'do', 'quiet', 'pleasant', 'have', 'wall', 'decide', 'professional', 'i', 'meticulous', 'detail', 'previous', 'pass', 'thorough', 'clean', 'warm', 'stay', 'contact', 'tasteful', 'responsible', 'biggest', 'high', 'evident', 't', 'modern', 'online', 'be']"
Staybridge Suites London Vauxhall,[]
The Kensington Hotel,"['friendly', 'nice', 'close', 'old', 'lobby', 'good', 'clean', 'sized', 'many', 'common', 'relaxing', 'helpful', 'great', 'other', 'such', 'easy', 'comfortable', 'welcoming', 'modern', 'south', 'english']"
Staybridge Suites London Stratford,[]
Le Marcel,"['read', 'great', 'maximize', 'modern', 'nice', 'good', 'international', 'attractive', 'small', 'terrific', 'ny', 'look', 'hear', 'first', 'est']"
H tel Duo,"['trendy', 'choose', 'i', 'modern', 'nice', 'helpful', 'original', 'small', 'ideal', 'chic', 'second', 'last', 'old']"
H tel Le Marianne,"['ask', 'different', 'eat', 'pleasant', 'chic', 'stay', 'new']"
The Athenaeum,"['cozy', 'good', 'excellent', 'non', 'convenient', 'corporate']"
Park International Hotel,[]
Terrass H tel Montmartre by MH,"['much', 'great', 'paris', 'modern', 'nice', 'cool', 'big']"
Best Western Mornington Hotel Hyde Park,"['hot', 'excellent', 'fresh', 'buffet']"
Hotel La Lanterne,['small']
H tel San R gis,"['friendly', 'generous', 'next', 'stylish', 'stuffy', 'old', 'beautiful', 'parisian', 'excellent', 'outstanding', 'paris', 'luxurious', 'classic', 'traditional', 'run', 'wonderful', 'grand', 'be', 'super']"
Le 123 S bastopol Astotel,"['good', 'high', 'great', 'young']"
Staunton Hotel B B,"['professional', 'english', 'charming', 'individual', 'comfortable', 'old']"
L H tel,"['feel', 'great', 'much', 'unique', 'friendly', 'quirky', 'weak', 'stay', 'old', 'comfortable', 'hotel', 'wonderful', 'superb']"
Maxim Op ra,"['return', 'clean', 'recommend', 'boutique', 'comfortable']"
Hotel Odeon Saint Germain,[]
Mercure London Bloomsbury Hotel,"['little', 'bigger', 'smallish', 'nice', 'good', 'helpful', 'attractive', 'outside', 'boutique', 'stay', 'comfortable', 'russell', 'upscale']"
Hotel Op ra Richepanse,"['little', 'painted', 'wrong', 'beautiful', 'wonderful', 'huge', 'amazing', 'fantastic', 'top', 'stay', 'go', 'lovely', 'high', 'white', 'louvre']"
Hotel Indigo London Tower Hill,"['sleep', 'great', 'arrange', 'powerful', 'excellent', 'doesn', 'spacious', 'special', 'quality', 'guest', 'thoughtful', 'shower', 't']"
Windermere Hotel,"['nice', 'good', 'english', 'friendly']"
Mercure London Paddington Hotel,"['little', 'friendly', 'nice', 'good', 'excellent', 'catch', 'clean', 'ideal', 'small', 'next', 'move', 'be', 'upgrade', 'paddington']"
Kensington House Hotel,[]
Charlotte Street Hotel,"['hustle', 'oxford', 'beautiful', 'cool', 'fantastic']"
Ritz Paris,"['best', 'friendly', 'immaculate', 'faultless', 'celebrate', 'first', 'helpful']"
Best Western Premier Le Swann,"['great', 'boutique']"
H tel des Academies et des Arts,"['perfect', 'friendly']"
Le Marquis Eiffel,"['lovely', 'perfect', 'quiet', 'modern']"
The Ritz London,"['best', 'international', 'many', 'english', 'victorian', 'helpful']"
Legend Saint Germain by Elegancia,"['set', 'make', 'helpful', 'excellent', 'cosy', 'recommend', 'check', 'fantastic', 'light', 'sure', 'early', 'wonderful', 'tasteful']"
