Hotel_Name,Descriptions
One Aldwych,"['leave', 'excellent', 'much', 'want']"
Splendid Etoile,"['great', 'good', 'quiet', 'perfect', 'local', 'airport', 'close', 'easy', 'comfy']"
Hotel Trianon Rive Gauche,"['friendly', 'nice', 'quiet', 'tasty', 'next', 'overall', 'yummy', 'beautiful', 'good', 'available', 'clean', 'side', 'perfect', 'wasn', 'late', 'request', 'few', 'touristy', 'internet', 'easy', 'comfortable', 'wonderful', 'sweet', 'higher', 'gracious', 'public', 'small', 'soft', 'various']"
Pullman Paris Centre Bercy,['good']
H tel des Ducs D Anjou,"['paris', 'whisk', 'different', 'many', 'pure', 'traditional', 'short']"
Novotel London West,"['friendly', 'personal', 'nice', 'quiet', 'pleasant', 'ideal', 'busy', 'spacious', 'heathrow', 'overall', 'close', 'professional', 'upgrade', 'ready', 'departure', 'transport', 'large', 'nearby', 'good', 'excellent', 'extra', 'clean', 'narrow', 'near', 'check', 'perfect', 'pick', 'many', 'free', 'etc', 'warm', 'helpful', 'pubs', 'stay', 'clerical', 'great', 'ninth', 'round', 'general', 'fitness', 'fantastic', 'eat', 'larger', 'sure', 'easy', 'corner', 'let', 'early', 'lyric', 'london', 'public', 'courteous', 'minor', 'central', 'hot', 'suite', 'attentive']"
H tel Juliana Paris,"['famous', 'go', 'fancy', 'i', 'patient', 'friendly', 'polite', 'good', 'show', 'nice', 'excellent', 'amazing', 'perfect', 'such', 'professional', 'comfortable', 'helpful', 'service']"
Belfast,"['excellent', 'stay', 'paris', 'friendly']"
Mercure Paris Tour Eiffel Pont Mirabeau,"['perfect', 'good', 'public', 'helpful']"
Knightsbridge Hotel,"['beautiful', 'convenient', 'comfortable', 'interesting']"
Hotel Le 10 BIS,"['transport', 'little', 'comfortable', 'great', 'extra', 'helpful', 'silent', 'cosy', 'clean', 'back', 'eat', 'complimentary', 'fantastic', 'good', 'public', 'comfy', 'stay', 'new']"
Grange St Paul s Hotel,"['transport', 'great', 'main', 'expensive', 'friendly', 'good', 'public', 'excellent', 'touristy', 'central', 'busy', 'close', 'easy', 'convenient', 'short', 'real']"
The Ampersand Hotel,"['friendly', 'quiet', 'eg', 'large', 'museums', 'excellent', 'good', 'free', 'helpful', 'great', 'linen', 'comfortable', 'proper', 'apero', 'relaxed', 'public', 'appreciated', 'small', 'lovely', 'delicious']"
Novotel London Tower Bridge,"['great', 'polite', 'best', 'good', 'clean', 'other', 'second', 'lovely', 'last', 'comfortable', 'london']"
H tel de Jos phine BONAPARTE,"['exotic', 'paris', 'mega', 'cute', 'friendly', 'excellent', 'public', 'huge', 'important', 'small', 'close', 'fit', 'super', 'helpful', 'cold']"
Hotel Tour d Auvergne Opera,"['convenient', 'good', 'great', 'new']"
Le Senat,"['transport', 'pillows', 'advice', 'get', 'central', 'comfy', 'helpful', 'superb']"
Les Plumes Hotel,"['brilliant', 'go', 'trendy', 'great', 'wonderfull', 'cadet', 'paris', 'make', 'confortable', 'parisian', 'whole', 'public', 'other', 'metro', 'average', 'easy', 'talk', 'comfortable']"
The Victoria,"['overnight', 'great', 'main', 'nice', 'good', 'public', 'approachable', 'quiet', 'other', 'small', 'central', 'close', 'easy']"
Pullman London St Pancras,"['full', 'much', 'main', 'decent', 'friendly', 'st', 'pret', 'next', 'overall', 'convenient', 'informative', 'wide', 'library', 'continental', 'transport', 'large', 'efficient', 'good', 'excellent', 'extra', 'available', 'stay', 'helpful', 'big', 'great', 'get', 'few', 'several', 'such', 'run', 'easy', 'more', 'comfortable', 'london', 't', 'early', 'reasonable', 'handy', 'adequate', 'public', 'try', 'recommend', 'central', 'hot', 'bed', 'espresso', 'major', 'british', 'cold']"
Ace Hotel London Shoreditch,"['friendly', 'nice', 'sofa', 'quiet', 'atmosphere', 'ready', 'nearby', 'good', 'excellent', 'cool', 'many', 'attract', 'restaurant', 'fantastic', 'modern', 'help', 'public', 'non', 'coolest']"
Staybridge Suites London Vauxhall,"['certain', 'friendly', 'nice', 'croissant', 'quiet', 'have', 'spacious', 'transport', 'quite', 'large', 'good', 'safe', 'many', 'perfect', 'common', 'helpful', 'adjacent', 'stay', 'excellant', 'great', 'careful', 'easy', 'sketchy', 'wonderful', 'own', 'sit', 'public', 'different', 'mail', 'be', 'put', 'major']"
Thistle Kensington Gardens,"['ok', 'fresh', 'appropriate', 'friendly', 'nice', 'quiet', 'pleasant', 'convenient', 'kept', 'transport', 'large', 'i', 'good', 'excellent', 'available', 'clean', 'safe', 'many', 'near', 'helpful', 'stay', 'great', 'easy', 'comfortable', 'london', 'visit', 'halal', 'reasonable', 'oxford', 'welcoming', 'public', 'basic', 'use', 'various']"
Park Plaza Sherlock Holmes London,"['nice', 'have', 'poor', 'crazy', 'grill', 'available', 'favorite', 'perfect', 'arrival', 'free', 'walkable', 'tube', 'helpful', 'great', 'pretty', 'get', 'general', 'other', 'easy', 'tired', 'bigger', 'expensive', 'disguise', 'help', 'local', 'routine']"
Hilton Paris Opera,[]
The Kensington Hotel,"['welcoming', 'friendly', 'good', 'many', 'such', 'close', 'easy']"
My Bloomsbury,"['lemon', 'friendly', 'nice', 'exceptional', 'next', 'come', 'transport', 'good', 'excellent', 'perfect', 'outstanding', 'stay', 'helpful', 'accessible', 'great', 'delicious', 'get', 'shops', 'easy', 'comfortable', 'modern', 'public', 'recommend', 'cant', 'english', 'lovely', 'attentive', 'short']"
H tel Chaplain Paris Rive Gauche,"['little', 'main', 'friendly', 'cafes', 'quiet', 'major', 'hub', 'large', 'efficient', 'nearby', 'good', 'clean', 'perfect', 'tiny', 'calm', 'free', 'shower', 'stay', 'helpful', 'complementary', 'great', 'paris', 'several', 'enough', 'fantastic', 'such', 'easy', 'wonderful', 'public', 'super']"
11 Cadogan Gardens,"['personal', 'friendly', 'public', 'luxurious', 'accessed', 'exceptional', 'walkable']"
Hotel Astor Saint Honor ,"['full', 'hop', 'main', 'considerate', 'excellent', 'knowledgeable']"
Op ra Marigny,"['public', 'helpful', 'quiet', 'friendly']"
H tel Duo,"['transport', 'great', 'paris', 'modern', 'best', 'friendly', 'return', 'public', 'clean', 'excellent', 'many', 'need', 'perfect', 'next', 'helpful', 'short']"
Ashburn Hotel,"['difficult', 'friendly', 'public', 'available', 'appreciated', 'central', 'heathrow', 'convenient', 'comfortable', 'helpful', 'bus', 'big', 'use']"
Marlin Waterloo,"['little', 'accessible', 'great', 'wireless', 'public', 'bakerloo', 'clean', 'enough', 'have', 'fantastic', 'easy', 'comfortable', 'london', 'big']"
